处子之山 Fúsi,,达格·卡利,,达格·卡利,,贡纳·永松,,Ilmur Kristjánsdóttir,,Sigurjón Kjartansson,['剧情'],94分钟,2015,冰岛 / 丹麦, 冰岛语,8.2
不法之徒 Down by Law,,吉姆·贾木许,,吉姆·贾木许,,汤姆·威兹,,约翰·劳瑞,,罗伯托·贝尼尼,"['剧情', '喜剧', '犯罪']",107分钟,1986,美国 / 西德, 英语 / 意大利语,8.2
水中刀 Nóz w wodzie,,罗曼·波兰斯基,,杰库·戈德堡,,里昂·尼梅兹科,,乔兰塔·乌梅卡,,兹古蒙特·马拉诺维兹奇,"['剧情', '惊悚']",94 分钟,1962,波兰, 波兰语,8.2
爸...你好吗？ 爸... 你好嗎？,,张作骥,,张作骥,,高捷,,纪培慧,,张捷,['剧情'],107分钟,2009,台湾, 汉语普通话,8.2
闪电奇迹 Powder,,维克多·萨尔瓦,,维克多·萨尔瓦,,玛丽·斯汀伯根,,肖恩·派特里克·弗兰纳里,,兰斯·亨利克森,"['剧情', '科幻', '悬疑', '惊悚', '奇幻']",111 分钟,1995,美国, 英语,8.2
非法入境 Welcome,,菲利普·里奥雷,,Olivier Adam,,文森特·林顿,,菲拉·阿伊维尔迪,,奥黛丽·达娜,['剧情'],France: 110 分钟,2009,法国, 英语 / 库尔德语 / 法语,8.2
怒海潜将 Men of Honor,,小乔治·提尔曼,,斯科特·马歇尔·史密斯,,罗伯特·德尼罗,,小库珀·古丁,,查理兹·塞隆,"['剧情', '传记']",129 分钟,2000,美国, 英语,8.2
中央舞台 Center Stage,,尼古拉斯·希特纳,,Carol Heikkinen,,彼得·盖勒,,Ilia Kulik,,佐伊·索尔达娜,"['剧情', '歌舞']",115 分钟,2000,美国, 英语,8.2
永远的莉莉亚 Lilya 4-ever,,鲁卡斯·穆迪森,,鲁卡斯·穆迪森,,奥莎娜·阿金什那,,Artyom Bogucharsky,,类型:,"['剧情', '犯罪']",109 分钟,2002,瑞典 / 丹麦, 俄语 / 瑞典语 / 英语,8.2
村戏,,郑大圣,,李保罗,,李志兵,,梁春柱,,王春明,['剧情'],99分钟,2017,中国大陆, 河北井陉话,8.2
简单西蒙 I rymden finns inga känslor,,Andreas Ohman,,Jonathan Sjöberg,,Jimmi Edlund,,Kristoffer Berglund,,Cecilia Forss,"['剧情', '喜剧', '爱情']",85分钟,2010,瑞典, 瑞典语,8.2
神秘列车 Mystery Train,,吉姆·贾木许,,吉姆·贾木许,,永濑正敏,,工藤夕贵,,茱迪·马克尔,"['剧情', '喜剧', '犯罪']",110 分钟,1989,日本 / 美国, 英语 / 日语 / 意大利语,8.2
不道德的审判 Death and the Maiden,,罗曼·波兰斯基,,阿瑞尔·多夫曼,,西格妮·韦弗,,本·金斯利,,斯图亚特·维尔森,"['剧情', '悬疑', '惊悚']",103分钟,1994,英国 / 美国 / 法国, 英语,8.2
野梨树 Ahlat Ağacı,,努里·比格·杰伊兰,,阿克·阿克苏,,岛吾·德米尔考,,穆拉特·杰姆吉尔,,本努·耶勒德热姆拉尔,['剧情'],188分钟,2018,土耳其 / 马其顿 / 法国 / 德国 / 波黑 / 保加利亚 / 瑞典, 土耳其语,8.2
叶塞尼亚 Yesenia,,阿尔弗雷多·克雷维纳,,约兰达·巴尔加斯·达尔西,,杰奎琳·安德瑞,,乔治·拉瓦特,,艾尔玛·洛扎诺,"['剧情', '爱情']",121分钟,1971,墨西哥, 西班牙语,8.2
雪路 눈길,,李娜静,,刘宝拉,,金香起,,金赛纶,,张荣男,"['剧情', '历史', '战争']",122分钟,2015,韩国, 韩语,8.2
吉屋出租 Rent,,克里斯·哥伦布,,克里斯·哥伦布,,安东尼·拉普,,亚当·帕斯考,,罗莎里奥·道森,"['剧情', '爱情', '歌舞']",135 分钟,2005,美国, 英语,8.2
宛如阿修罗 阿修羅のごとく,,森田芳光,,向田邦子,,大竹忍,,黑木瞳,,深津绘里,"['剧情', '喜剧', '家庭']",135分钟,2003,日本, 日语,8.2
红菱艳 The Red Shoes,,埃默里克·普雷斯伯格,,埃默里克·普雷斯伯格,,Moira Shearer,,类型:,,剧情,"['剧情', '爱情', '音乐']",133 分钟,1948,英国, 英语 / 法语 / 俄语,8.2
八月照相馆 8월의 크리스마스,,许秦豪,,许秦豪,,韩石圭,,沈银河,,申久,"['剧情', '爱情']",97 分钟,1998,韩国, 韩语,7.9
机动部队 PTU,,杜琪峰,,欧健儿,,任达华,,邵美琪,,林雪,"['剧情', '犯罪']",88分钟,2003,香港, 粤语,7.9
战略特勤组 Unthinkable,,格雷格·乔丹,,皮特·伍德瓦德,,麦克·辛,,塞缪尔·杰克逊,,凯瑞-安·莫斯,"['剧情', '悬疑', '惊悚']",97 分钟,2010,美国, 英语,7.9
