,a,c,e,g,i,k,l,m,n,o,p,q
573,恐怖星球 Planet Terror,罗伯特·罗德里格兹,罗伯特·罗德里格兹,罗丝·麦高恩,弗莱迪·罗德里格兹,乔什·布洛林,"['动作', '科幻', '恐怖']",105分钟,2007,美国, 英语,7.4
574,深空失忆 Pandorum,克里斯蒂安·阿瓦特,克里斯蒂安·阿瓦特,丹尼斯·奎德,本·福斯特,凯姆·吉甘戴,"['动作', '科幻', '悬疑', '惊悚', '恐怖']",108分钟,2009,德国 / 英国, 英语 / 越南语 / 德语,7.4
575,入侵脑细胞 The Cell,塔西姆·辛,马克·波托塞维奇,詹妮弗·洛佩兹,文斯·沃恩,文森特·多诺费奥,"['科幻', '惊悚', '恐怖']",107分钟,2000,美国 / 德国, 英语,7.4
576,追踪长尾豹马修 Sur la piste du Marsupilami,阿兰·夏巴,阿兰·夏巴,贾梅尔·杜布兹,阿兰·夏巴,朗贝尔·维尔森,"['喜剧', '科幻', '冒险']",105分钟,2012,法国 / 比利时, 法语,7.4
577,超人之死 The Death of Superman,杰克·卡斯托雷纳,彼得·托马西,杰瑞·奥康奈尔,丽贝卡·罗梅恩,雷恩·威尔森,"['动作', '科幻', '动画']",81分钟,2018,美国, 英语,7.4
578,黑暗正义联盟 Justice League Dark,杰伊·欧力瓦,J·M·德马泰,马特·瑞安,卡米拉·卢丁顿,杰森·奥玛拉,"['动作', '科幻', '动画', '惊悚', '奇幻']",75分钟,2017,美国, 英语,7.4
579,正义联盟：两个地球的危机 Justice League: Crisis on Two Earths,刘山姆,Dwayne McDuffie,Mark Harmon,William Baldwin,Chris Noth,"['动作', '科幻', '动画']",USA: 75 分钟,2010,美国, 英语,7.4
580,电子世界争霸战 TRON,史蒂文·利斯伯吉尔,邦尼·麦克伯德,杰夫·布里吉斯,布鲁斯·巴克林纳,大卫·沃纳,"['动作', '科幻', '冒险']",96分钟,1982,美国, 英语,7.4
581,蝙蝠侠：哥谭骑士 Batman: Gotham Knight,西见祥示郎,鲍勃·凯恩,凯文·康瑞,杰森·马斯登,斯科特·门维尔,"['动作', '科幻', '动画', '惊悚', '犯罪']",75 分钟,2008,美国 / 日本 / 韩国, 英语 / 日语 / 西班牙语 / 葡萄牙语 / 泰语,7.4
582,"亲爱的，我把我们缩小了 Honey, We Shrunk Ourselves!",迪恩·康迪,Joel Hodgson,里克·莫拉尼斯,罗宾·巴利特,米拉·库尼斯,"['喜剧', '动作', '科幻', '家庭', '冒险']",74 分钟,1997,美国, 英语,7.4
583,时间裂缝 The Langoliers,汤姆·霍兰德,斯蒂芬·金,帕特丽夏·温迪,大卫·摩斯,弗兰基·费森,"['科幻', '悬疑', '惊悚', '恐怖']",180分钟,1995,USA, English,7.4
584,极度空间 They Live,约翰·卡朋特,雷伊·尼尔森,罗迪·派彭,凯斯·大卫,梅格·福斯特,"['动作', '科幻', '恐怖']",93 分钟,1988,美国, 英语,7.4
585,变蝇人 The Fly,Kurt Neumann (I),乔治·朗格兰,大卫·海迪生,帕特里夏·欧文斯,文森特·普莱斯,"['科幻', '悬疑', '恐怖']",94 分钟,1958,美国, 英语,7.4
586,定时拍摄 Time Lapse,Bradley King,Bradley King,丹妮尔·帕娜贝克,马特·欧莱瑞,阿明·约瑟夫,"['科幻', '惊悚']",104分钟,2014,美国, 英语,7.1
587,月光游侠 MOON CHILD,濑濑敬久,神威乐斗,HYDE,Gackt,王力宏,"['剧情', '动作', '科幻']",120 分钟,2003,日本, 粤语 / 日语 / 汉语普通话 / 英语,7.1
588,地下理想国 Metropia,塔里克·萨利赫,Fredrik Edin,Vincent Gallo,朱丽叶特·刘易斯,乌多·基尔,"['科幻', '动画', '惊悚']",86分钟,2009,瑞典 / 丹麦 / 挪威 / 芬兰, 英语,7.1
589,星际旅行7：斗转星移 Star Trek: Generations,David Carson,罗纳德·D·摩尔,帕特里克·斯图尔特,乔纳森·弗雷克斯,布伦特·斯皮内,"['动作', '科幻', '悬疑', '惊悚']",118 分钟,1994,美国, 英语,7.1
590,铁男1：金属兽 Tetsuo,冢本晋也,冢本晋也,田口智朗,石桥莲司,六平直政,"['科幻', '惊悚', '恐怖']",67分钟,1989,日本, 日语,7.1
591,飞天法宝 Flubber,莱斯·梅菲尔德,比尔·沃尔什,罗宾·威廉姆斯,马西娅·盖伊·哈登,克里斯托弗·麦克唐纳,"['喜剧', '科幻', '家庭']",93分钟,1997,美国, 英语,7.1
592,500年后 THX 1138,乔治·卢卡斯,乔治·卢卡斯,罗伯特·杜瓦尔,唐纳德·普利森斯,唐佩德罗·科利,"['剧情', '科幻', '悬疑', '惊悚']",86分钟,1971,美国, 英语,7.1
593,阿特拉斯耸耸肩 Atlas Shrugged: Part I,保罗·约翰逊,安·兰德,泰勒·席林,保罗·约翰逊,格兰特·鲍尔,"['剧情', '科幻', '悬疑']",97分钟,2011,美国, 英语,7.1
594,遗传学歌剧 Repo! The Genetic Opera,达伦·林恩·鲍斯曼,Darren Smith,阿丽夏·维加,保罗·索维诺,安东尼·海德,"['科幻', '恐怖', '歌舞']",98 分钟,2008,美国, 英语,7.1
595,时空急转弯2 Les Couloirs du temps: Les visiteurs 2,让-玛丽·普瓦雷,克里斯蒂昂·克拉维埃,让·雷诺,克里斯蒂昂·克拉维埃,Muriel Robin,"['喜剧', '科幻', '家庭', '奇幻']",118 分钟,1998,法国, 法语,7.1
596,神秘博士归来 Doctor Who: The Return of Doctor Mysterio,爱德华·巴瑟杰特,史蒂文·莫法特,彼得·卡帕尔迪,珀尔·麦基,马特·卢卡斯,"['剧情', '科幻', '家庭', '冒险']",60分钟,2016,英国, 英语,7.1
597,非凡 Uncanny,马修·卢泰勒,沙欣·钱德拉索玛,马克·韦伯,露西·格里菲思,大卫·克莱顿·罗杰斯,"['剧情', '科幻', '惊悚']",91分钟,2015,美国, 英语,7.1
598,夺命凶灵 Scanners,大卫·柯南伯格,大卫·柯南伯格,詹妮弗·欧内尔,Stephen Lack,帕特里克·麦高汉,"['科幻', '恐怖']",103 分钟,1981,加拿大, 英语,7.1
599,再见 さようなら,深田晃司,深田晃司,布莱耶丽·朗,Geminoid F,新井浩文,"['剧情', '科幻']",112分钟,2015,日本 / 法国, 日语 / 英语 / 法语,7.1
600,坦克女郎 Tank Girl,瑞秋·塔拉蕾,Alan Martin,娜奥米·沃茨,罗莉·佩蒂,艾斯-T,"['喜剧', '动作', '科幻']",104 分钟,1995,美国, 英语,7.1
601,上帝难为 Трудно быть Богом,阿列克谢·日尔曼,阿列克谢·日尔曼,Leonid Yarmolnik,类型:,剧情,"['剧情', '科幻']",170分钟,2013,俄罗斯 / 捷克, 俄语,7.1
602,外星恋 Starman,约翰·卡朋特,布鲁斯·A·埃文斯,杰夫·布里吉斯,凯伦·阿兰,查尔斯·马丁·史密斯,"['剧情', '爱情', '科幻', '冒险']",115 分钟,1984,美国, 英语,7.1
603,太空堡垒—暗影编年 Robotech: The Shadow Chronicles,Dong-Wook Lee,Ford Riley,Richard Epcar,Eddie Frierson,马克·哈米尔,"['科幻', '动画']",88 分钟,2006,美国, 英语,7.1
604,化身博士 Dr. Jekyll and Mr. Hyde,维克多·弗莱明,约翰·李·马辛,斯宾塞·屈塞,英格丽·褒曼,拉娜·特纳,"['剧情', '科幻', '恐怖']",113 分钟,1941,美国, 英语,7.1
605,007之金刚钻 Diamonds Are Forever,盖伊·汉弥尔顿,理查德·麦鲍姆,肖恩·康纳利,吉尔·圣约翰,查尔斯·格雷,"['动作', '科幻', '惊悚', '冒险']",120 分钟,1971,英国, 英语 / 德语,6.8
606,星际旅行5：终极先锋 Star Trek V: The Final Frontier,威廉·夏特纳,David Loughery,威廉·夏特纳,伦纳德·尼莫伊,德福雷斯特·凯利,"['动作', '科幻', '惊悚', '冒险']",107 分钟,1989,美国, 英语,6.8
607,蝙蝠侠：煤气灯下的哥谭 Batman: Gotham by Gaslight,刘山姆,詹姆斯·克里格,布鲁斯·格林伍德,詹妮弗·卡朋特,克里斯·考克斯,"['动作', '科幻', '动画', '悬疑', '犯罪']",78分钟,2018,美国, 英语,6.8
608,超人王朝 Reign of the Supermen,刘山姆,詹姆斯·克里格,杰瑞·奥康奈尔,丽贝卡·罗梅恩,雷恩·威尔森,"['动作', '科幻', '动画']",87分钟,2019,美国, 英语,6.8
609,迷失太空 Lost in Space,斯蒂芬·霍普金斯,阿齐瓦·高斯曼,海瑟·格拉汉姆,威廉·赫特,米密·罗杰斯,"['动作', '科幻', '惊悚', '冒险']",130 分钟,1998,美国, 英语,6.8
610,逃离循环 Hurok,伊斯蒂·马达拉斯,伊斯蒂·马达拉斯,丹尼斯·萨拉兹,多丽娜·马提诺维奇,佐尔特·安格尔,"['科幻', '惊悚', '犯罪']",95分钟,2016,匈牙利, 匈牙利语,6.8
611,虫洞效应 The Last Mimzy,罗伯特·沙耶,布鲁斯·乔尔·鲁宾,Chris O'Neil,莱茵侬·雷-瑞恩,乔莉·理查德森,"['剧情', '科幻', '家庭', '奇幻', '冒险']",USA: 90 分钟,2007,美国, 英语 / 西班牙语,6.8
612,冒名顶替 Impostor,加里·弗莱德,Caroline Case,加里·西尼斯,玛德琳·斯托,文森特·多诺费奥,"['剧情', '动作', '科幻', '惊悚']",95 分钟,2001,美国, 英语,6.8
613,爱在初春惊变时 Spring,贾斯汀·本森,贾斯汀·本森,卢·泰勒·普奇,Nadia Hilker,弗朗切斯科·卡尔内卢蒂,"['爱情', '科幻', '恐怖']",105分钟,2014,美国, 英语,6.8
614,寂静的地球 The Quiet Earth,杰夫·墨菲,Craig Harrison,布鲁诺·劳伦斯,艾莉森·劳特利奇,佩特·史密斯,"['剧情', '科幻', '悬疑']",91分钟,1985,新西兰, 英语,6.8
615,乐高DC超级英雄：哥谭大越狱 Lego DC Comics Superheroes: Justice League - Gotham City Breakout,马特·皮特斯,詹姆斯·克里格,特罗伊·贝克,诺兰·诺斯,Khary Payton,"['喜剧', '科幻', '动画']",78分钟,2016,美国, 英语,6.8
616,时光大盗 Time Bandits,特瑞·吉列姆,麦克·帕林,约翰·克立斯,肖恩·康纳利,谢莉·杜瓦尔,"['喜剧', '科幻', '悬疑', '惊悚', '家庭', '奇幻', '冒险']",116 分钟,1981,英国, 英语,6.8
617,冰冻星球 Titan A.E.,Art Vitello,Ben Edlund,马特·达蒙,比尔·普尔曼,约翰·雷吉扎莫,"['科幻', '动画', '家庭', '冒险']",94 分钟,2000,美国, 英语,6.8
618,人体异形 Invasion of the Body Snatchers,菲利普·考夫曼,Jack Finney,Donald Sutherland,Leonard Nimoy,Brooke Adams,"['科幻', '悬疑', '恐怖']",115 分钟,1978,美国, 英语,6.8
619,太空炮弹 Spaceballs,梅尔·布鲁克斯,梅尔·布鲁克斯,梅尔·布鲁克斯,约翰·坎迪,里克·莫拉尼斯,"['喜剧', '科幻', '冒险']",96 分钟,1987,美国, 英语,6.8
620,黑湖妖潭 Creature from the Black Lagoon,杰克·阿诺德,哈里·埃塞克斯,理查德·加尔森,朱莉·亚当斯,理查德·邓宁,"['科幻', '恐怖', '冒险']",79 分钟,1954,美国, 英语,6.8
621,惊爆无底洞 The Rift,Juan Piquer Simón,Jack Scalia,Jack Scalia,类型:,动作,"['动作', '科幻', '惊悚', '恐怖', '冒险']",79 分钟,1990,西班牙 / 美国, 英语,6.8
622,割草者 The Lawnmower Man,Brett Leonard,Brett Leonard,皮尔斯·布鲁斯南,杰夫·法赫,珍妮·赖特,"['动作', '科幻', '恐怖']",107 分钟,1992,英国 / 美国 / 日本, 英语,6.8
623,神秘博士1996电影版 Doctor Who: The Movie,杰弗里·萨克斯,马修·雅各布斯,保罗·麦甘恩,埃里克·罗伯茨,达芙妮·阿斯布鲁克,"['剧情', '科幻', '悬疑', '奇幻', '冒险', '灾难']",89分钟,1996,英国, 英语,6.8
624,蠢蛋进化论 Idiocracy,迈克·乔吉,迈克·乔吉,卢克·威尔逊,玛娅·鲁道夫,戴克斯·夏普德,"['喜剧', '科幻', '惊悚', '冒险']",84分钟,2006,美国, 英语,6.5
625,有一天,侯季然,侯季然,谢欣颖,张书豪,姚坤君,"['剧情', '爱情', '科幻']",92分钟,2010,台湾, 汉语普通话 / 闽南语,6.5
626,疯狂的麦克斯3 Mad Max Beyond Thunderdome,乔治·米勒,乔治·米勒,梅尔·吉布森,蒂娜·特纳,亚当·科克伯恩,"['动作', '科幻', '惊悚', '冒险']",107分钟,1985,澳大利亚, 英语,6.5
627,特警判官 Judge Dredd,Danny Cannon,斯蒂芬·E.德·索萨,西尔维斯特·史泰龙,阿曼德·阿山特,罗伯·施奈德,"['动作', '科幻', '惊悚', '犯罪']",96 分钟,1995,美国, 英语,6.5
628,惊叫大电影 Chillerama,亚当·格林,亚当·莱福金,理查德·里尔,布伦特·柯里根,亚当·莱福金,"['喜剧', '动作', '科幻', '恐怖', '歌舞']",119分钟,2011,美国, 英语 / 德语,6.5
629,安全没有保障 Safety Not Guaranteed,科林·特雷沃罗,德里克·康纳利,奥布瑞·普拉扎,杰克·约翰逊,卡兰·索尼,"['喜剧', '科幻']",86分钟,2012,美国, 英语,6.5
630,决战猩球 Battle for the Planet of the Apes,J·李·汤普森,约翰·威廉·科林顿,罗迪·麦克道尔,克劳德·艾金斯,纳塔丽·特伦黛,"['动作', '科幻']",93 分钟,1973,美国, 英语,6.5
631,同步 Synchronicity,雅各布·詹特利,雅各布·詹特利,查德·麦克奈特,布莱安娜·戴维斯,AJ·鲍恩,"['科幻', '悬疑', '惊悚']",101分钟,2015,美国, 英语,6.5
632,日本沉没 日本沈没,森谷司郎,小松左京,罗恩·格林,小林桂树,藤冈弘,"['剧情', '科幻', '惊悚', '灾难']",Japan: 143 分钟,1973,日本, 日语,6.5
633,捉鬼敢死队2 Ghostbusters II,伊万·雷特曼,丹·艾克罗伊德,比尔·默瑞,丹·艾克罗伊德,西格妮·韦弗,"['喜剧', '动作', '科幻', '奇幻', '冒险']",108 分钟,1989,美国, 英语,6.5
634,虚拟实惊 Otherlife,本·C·卢卡斯,凯利·埃斯克里奇,杰西卡·德·古维,托马斯·康奎尔,TJ·鲍尔,"['科幻', '悬疑', '惊悚', '犯罪']",96分钟,2017,澳大利亚, 英语,6.5
635,索拉里斯 Solaris,史蒂文·索德伯格,史蒂文·索德伯格,乔治·克鲁尼,娜塔莎·麦克艾霍恩,维奥拉·戴维斯,"['爱情', '科幻', '悬疑']",99 分钟,2002,美国, 英语,6.5
636,死亡空间：余波 Dead Space: Aftermath,Mike Disa,Mike Disa,Christopher Judge,类型:,科幻,"['科幻', '动画', '恐怖']",94分钟,2011,美国, 英语,6.5
637,睡眠经销商 Sleep Dealer,Alex Rivera,Alex Rivera,蕾奥娜·维埃拉,贾克波·瓦格斯,Luis Fernando Peña,['科幻'],90 分钟,2008,美国 / 墨西哥, 西班牙语 / 英语,6.5
638,钢铁侠与美国队长：英雄集结 Iron Man & Captain America: Heroes United,Leo Riley,布兰登·奥曼,亚德里安·帕斯达,罗杰·克莱格·史密斯,弗雷德·塔特西奥,"['动作', '科幻', '动画']",71分钟,2014,美国, 英语,6.5
639,印度超人 Krrish,拉克什·罗斯汉,Robin Bhatt,佩丽冉卡·曹帕拉,赫里尼克·罗斯汉,纳萨鲁丁·沙,"['动作', '爱情', '科幻', '冒险']",185分钟,2006,印度, 印地语 / 英语 / 粤语,6.5
640,洛杉矶大逃亡 Escape from L.A.,约翰·卡朋特,黛布拉·希尔,库尔特·拉塞尔,史蒂夫·布西密,彼得·方达,"['动作', '科幻', '惊悚', '冒险']",101 分钟,1996,美国, 英语,6.5
641,初始者 Primer,什恩·卡鲁斯,什恩·卡鲁斯,什恩·卡鲁斯,大卫·苏利文,Casey Gooden,"['剧情', '科幻', '惊悚']",77 分钟,2004,美国, 英语 / 法语,6.5
642,外星追缉令 Fire in the Sky,Robert Lieberman (I),Tracy Tormé,D·B·斯威尼,罗伯特·帕特里克,克莱格·谢佛,"['剧情', '科幻', '悬疑', '恐怖']",109 分钟,1993,美国, 英语,6.5
643,变蝇人2 The Fly II,Chris Walas,弗兰克·德拉邦特,艾瑞克·斯托罗兹 Eric Stoltz,达芙妮·祖尼加,Lee Richardson,"['科幻', '恐怖']",105 分钟,1989,美国, 英语,6.2
644,冰肤传说 Cold Skin,泽维尔·吉恩斯,赫苏斯·奥尔莫,雷·史蒂文森,大卫·奥克斯,奥拉·加里多,"['科幻', '惊悚', '冒险']",108分钟,2017,西班牙 / 法国, 英语,6.2
645,逆流的色彩 Upstream Color,什恩·卡鲁斯,什恩·卡鲁斯,艾米·西米茨,蒂亚戈·马丁斯,什恩·卡鲁斯,"['剧情', '科幻']",96分钟,2013,美国, 英语,6.2
646,鬼讯号 White Noise,杰弗里·萨克斯,尼尔·约翰逊,Micheal Keaton,Deborah Unger,Chandra West,"['剧情', '科幻', '悬疑', '惊悚', '恐怖']",101 分钟,2005,加拿大 / 英国 / 美国, 英语,6.2
647,食人鱼 Piranha,乔·丹特,约翰·塞尔斯,布拉福德·迪尔曼,凯文·麦卡锡,基南·怀恩,"['喜剧', '科幻', '恐怖']",94 分钟,1978,美国, 英语,6.2
648,地球回音 Earth To Echo,戴夫·格林,亨利·盖登,特奥·哈姆,亚斯特罗,Reese Hartwig,"['科幻', '家庭', '儿童', '冒险']",91分钟,2014,美国, 英语,6.2
649,美丽之星 美しい星,吉田大八,三岛由纪夫,中川雅也,龟梨和也,桥本爱,"['剧情', '科幻']",127分钟,2017,日本, 日语,6.2
650,卫斯理之老猫 衛斯理之老貓,蓝乃才,陈庆嘉,李子雄,伍咏薇,叶蕴仪,"['科幻', '悬疑', '惊悚', '恐怖']",84 分钟,1992,香港, 粤语,6.2
651,时空特警 Timecop,彼得·海姆斯,马克·维西顿,尚格·云顿,类型:,动作,"['动作', '科幻', '惊悚']",99 分钟,1994,加拿大 / 美国 / 日本, 英语,6.2
652,记忆重现 Rememory,马克·帕兰斯基,马克·帕兰斯基,彼特·丁拉基,马特·埃利斯,乔丹娜·拉吉,"['剧情', '科幻', '悬疑']",111分钟,2017,美国 / 加拿大, 英语,6.2
653,天军 천군,闵俊基Min Jun-Gi,闵俊基,朴重勋,金胜宇Kim Seung-Wu,黄政民,"['喜剧', '动作', '科幻']",106 分钟,2005,韩国, 韩语,6.2
654,"猪头，我的车咧？ Dude, Where's My Car?",Danny Leiner,Philip Stark,阿什顿·库彻,西恩·威廉·斯科特,詹妮弗·加纳,"['喜剧', '动作', '科幻', '悬疑']",83 分钟,2000,美国, 英语 / 日语 / 法语,6.2
655,宇宙天魔 Lifeforce,托比·霍珀,科林·威尔逊,玛蒂尔达·梅,史蒂夫·雷尔斯巴克,彼得·弗斯,"['科幻', '惊悚', '恐怖']",116 分钟,1985,英国, 英语,6.2
656,太空黑猩猩 Space Chimps,Kirk De Micco,Simon Goltsman,安迪·萨姆伯格,Cameron Bright,切瑞·海恩斯,"['喜剧', '科幻', '动画', '家庭', '冒险']",81 分钟,2008,美国, 英语,6.2
657,男人的世界,王为一,王为一,侯耀文,王馥荔,郭冬临,"['剧情', '喜剧', '科幻']",92分钟,1987,中国大陆, 汉语普通话,6.2
658,印度超人3 Krrish 3,Rakesh Roshan,Rakesh Roshan,Hrithik Roshan,Rekha,Riya Sen,['科幻'],152分钟,2013,印度, 印地语,6.2
659,宇宙通行证 Un ticket pour l'espace,艾里克·拉缇戈,凯德·麦拉德,凯德·麦拉德,奥利维埃·巴鲁,玛琳娜·佛伊丝,"['喜剧', '科幻']",90分钟,2006,法国, 法语,6.2
660,所爱非人,宋灏霖,缪倩,任欣羽,李雅男,类型:,"['爱情', '科幻']",85分钟(电影节版),2016,中国大陆, 汉语普通话,6.2
661,哥斯拉大战机械哥斯拉 ゴジラ×メカゴジラ,手塚昌明,三村渉,释由美子,宅麻伸,小野寺華那,"['动作', '科幻', '惊悚', '恐怖']",88 分钟,2002,日本, 日语,6.2
662,黑暗时刻 La hora fría,Elio Quiroga,Elio Quiroga,Jorge Casalduero,Julio Perillán,Omar Muñoz,"['科幻', '悬疑', '恐怖']",Spain: 92 分钟,2006,西班牙, 西班牙语,6.2
663,灭绝 Extinction,本·扬,斯宾塞·科恩,迈克尔·佩纳,丽兹·卡潘,伊瑟尔·布罗萨德,"['科幻', '惊悚']",95分钟,2018,美国, 英语,5.8
664,死亡日记 Diary of the Dead,乔治·A·罗梅罗,乔治·A·罗梅罗,肖恩·罗伯茨,梅根·帕克,米歇尔·摩根,"['科幻', '恐怖']",95 分钟,2007,美国, 英语,5.8
665,未来机器城,安恪温,郝雨,韩莹棣,郑海音,冯远征,"['科幻', '动画', '冒险']",90分钟,2018,中国大陆 / 加拿大, 英语 / 汉语普通话,5.8
666,弗兰肯斯坦的军队 Frankenstein’s Army,Richard Raaphorst,米格尔·特哈达·弗洛里斯,卡瑞尔·罗登,约书亚·萨斯,Robert Gwilym,"['动作', '科幻', '惊悚']",85分钟,2013,荷兰 / 美国 / 捷克, 英语,5.8
667,惹鬼回路 Pulse,Jim Sonzero,韦斯·克雷文,克里斯汀·贝尔,乔纳森·塔克,瑞克·冈萨雷斯,"['科幻', '恐怖']",90 分钟,2006,美国, 英语,5.8
668,超人4：和平任务 Superman IV: The Quest for Peace,西德尼·J·弗里尔,克里斯托弗·里夫,克里斯托弗·里夫,吉恩·哈克曼,马克·麦克卢尔,"['动作', '科幻', '家庭', '奇幻', '冒险']",90 分钟(theatrical version),1987,英国 / 美国, 英语 / 俄语 / 法语 / 意大利语,5.8
669,智慧囚屋 Tau,Federico D'Alessandro,Noga Landau,麦卡·梦露,艾德·斯克林,加里·奥德曼,"['科幻', '惊悚']",97分钟,2018,美国, 英语,5.8
670,收割伊丽莎白 Elizabeth Harvest,塞巴斯蒂安·古提耶雷兹,塞巴斯蒂安·古提耶雷兹,阿比·丽,卡拉·古奇诺,塞伦·希德,"['科幻', '惊悚']",105分钟,2018,美国, 英语,5.8
671,恐怖海湾 The Bay,巴瑞·莱文森,Michael Wallach,克里斯托弗·邓汉,迈克尔·比斯利,Kether Donohue,"['科幻', '惊悚', '恐怖']",84分钟,2012,美国, 英语,5.8
672,杰森在太空 Jason X,詹姆斯·艾萨克,Todd Farmer,莱克莎·多伊格,Lisa Ryder,Chuck Campbell,"['科幻', '恐怖']",91 分钟,2001,美国, 英语,5.8
673,撒迦利亚 Z for Zachariah,克雷格·卓贝,罗伯特·奥布莱恩,玛格特·罗比,克里斯·派恩,切瓦特·埃加福特,"['剧情', '科幻', '惊悚']",95分钟,2015,美国 / 冰岛, 英语,5.8
674,异形魔怪3 Tremors 3: Back to Perfection,布伦特·马多克,布伦特·马多克,迈克尔·格罗斯,肖恩·克里斯汀,夏洛特·斯图尔特,"['喜剧', '动作', '科幻', '惊悚', '恐怖']",104 分钟,2001,美国, 英语,5.8
675,病毒抗体 Antiviral,布兰登·柯南伯格,布兰登·柯南伯格,卡赖伯·兰德里·琼斯,莎拉·加顿,马尔科姆·麦克道威尔,"['科幻', '惊悚', '恐怖']",108分钟,2012,美国 / 加拿大, 英语,5.8
676,复生实验 Realive,马特奥·希尔,马特奥·希尔,汤姆·休斯,夏洛特·勒·邦,奥娜·卓别林,['科幻'],112分钟,2016,比利时 / 西班牙 / 法国, 英语,5.8
677,清醒梦 루시드 드림,金俊诚,金俊诚,高修,薛耿求,朴有天,"['科幻', '惊悚']",101分钟,2017,韩国, 韩语,5.8
678,智能谍变 Hardwired,厄尼·巴巴拉什,迈克·赫斯特,方·基默,小库珀·古丁,阿里·利伯特,"['动作', '科幻']",94分钟,2009,美国 / 加拿大, 英语,5.8
679,巨齿鲨 The Meg,乔·德特杜巴,迪恩·乔格瑞斯,杰森·斯坦森,李冰冰,雷恩·威尔森,"['动作', '科幻', '惊悚']",115分钟(中国大陆),2018,美国 / 中国大陆 / 香港, 英语 / 汉语普通话 / 泰语,5.7
680,地球停转之日 The Day the Earth Stood Still,斯科特·德瑞克森,大卫·斯卡尔帕,基努·里维斯,詹妮弗·康纳利,贾登·史密斯,"['剧情', '科幻', '灾难']",104 分钟,2008,美国 / 加拿大, 英语 / 汉语普通话,5.7
681,牛仔和外星人 Cowboys & Aliens,乔恩·费儒,艾里克斯·库兹曼,丹尼尔·克雷格,哈里森·福特,奥利维亚·王尔德,"['动作', '科幻', '惊悚', '西部']",118分钟,2011,美国, 英语,5.7
682,天际浩劫2 Beyond Skyline,连姆·O·达诺,连姆·O·达诺,弗兰克·格里罗,博亚娜·诺瓦科维奇,乔尼·维斯顿,"['动作', '科幻', '灾难']",106分钟,2017,美国 / 英国 / 新加坡 / 印度尼西亚 / 加拿大 / 中国大陆, 英语 / 印度尼西亚语,5.2
683,人狼 인랑,金知云,金知云,姜栋元,韩孝周,郑雨盛,"['动作', '爱情', '科幻']",138分钟,2018,韩国, 韩语,5.2
684,绝对控制 I.T.,约翰·摩尔,丹尼尔·凯,皮尔斯·布鲁斯南,詹姆斯·弗兰切威勒,安娜·弗莱尔,"['剧情', '科幻', '悬疑', '犯罪']",95分钟,2016,美国 / 爱尔兰 / 法国, 英语,5.2
685,再造战士4：清算之日 Universal Soldier: Day of Reckoning,John Hyams,John Hyams,尚格·云顿,杜夫·龙格尔,斯科特·阿金斯,"['动作', '科幻', '惊悚']",114分钟,2012,美国, 英语,5.2
686,再造战士3：重生 Universal Soldier: Regeneration,John Hyams,迪安·德夫林,尚格·云顿,杜夫·龙格尔,安德烈·阿罗维斯基,"['剧情', '动作', '科幻', '惊悚']",97 分钟,2009,美国, 英语 / 保加利亚语,5.2
687,黑暗心灵 The Darkest Minds,吕寅荣,查德·霍奇,阿曼德拉·斯坦伯格 ,曼迪·摩尔,格温多兰·克里斯蒂,"['科幻', '惊悚']",104分钟,2018,美国, 英语,5.2
688,桂宝之爆笑闯宇宙,王云飞,王云飞,王云飞,阿桂,杨天翔,"['喜剧', '科幻', '动画']",95分钟,2015,中国大陆 / 香港, 汉语普通话,5.2
689,猎杀活死人 Undead,迈克尔·斯派瑞,迈克尔·斯派瑞,Felicity Mason,Mungo McKay,罗伯·詹金斯,"['喜剧', '动作', '科幻', '恐怖']",Australia: 104 分钟,2003,澳大利亚, 英语,5.2
690,百日孤独 Sum1,克里斯蒂安·帕斯奎雷罗,克里斯蒂安·帕斯奎雷罗,伊万·瑞恩,安德烈·赫尼克,雷纳·沃纳,"['科幻', '惊悚', '恐怖']",92分钟,2017,德国, 英语,5.2
691,星际叛将：欧西里斯之子 Science Fiction Volume One: The Osiris Child,谢恩·安贝斯,谢恩·安贝斯,凯南·鲁兹,丹尼尔·麦克弗森,伊莎贝尔·卢卡斯,"['科幻', '惊悚', '冒险']",95分钟,2016,澳大利亚, 英语,5.2
692,同族 Kin,乔纳森·贝克,乔纳森·贝克,詹姆斯·弗兰科,佐伊·克罗维兹,丹尼斯·奎德,"['动作', '科幻', '惊悚']",102分钟,2018,美国, 英语,5.2
693,失落的未来 The Lost Future,迈克尔·塞洛蒙,Bev Doyle,肖恩·宾,Annabelle Wallis,山姆·克拉弗林,"['科幻', '冒险']",90分钟,2010,美国 / 德国 / 南非, 英语,5.2
694,特种部队的崛起 Outpost: Rise of the Spetsnaz,Kieran Parker,Rae Brunton,布莱恩·拉金,伊万·卡马拉斯,迈克尔麦凯尔,"['动作', '科幻', '恐怖']",87分钟,2013,英国, 英语,5.2
695,但丁01 Dante 01,马克·卡罗,马克·卡罗,朗贝尔·维尔森,Linh Dan Pham,多米尼克·皮侬,"['科幻', '惊悚']",82 分钟,2008,法国, 法语,5.2
696,地球最末日 4:44 Last Day on Earth,阿贝尔·费拉拉,阿贝尔·费拉拉,威廉·达福,娜塔莎·雷昂,Paul Hipp,"['剧情', '科幻', '奇幻']",82分钟,2011,美国, 英语,5.2
