,a,c,e,g,i,k,l,m,n,o,p,q
814,疯狂的外星人,宁浩,孙小杭,黄渤,沈腾,汤姆·派福瑞,"['喜剧', '科幻']",116分钟,2019,中国大陆, 汉语普通话 / 英语,6.4
815,攻壳机动队 Ghost in the Shell,鲁伯特·桑德斯,士郎正宗,斯嘉丽·约翰逊,皮鲁·埃斯贝克,北野武,"['动作', '科幻', '犯罪']",107分钟,2017,美国, 英语 / 日语,6.4
816,金刚狼2 The Wolverine,詹姆斯·曼高德,马克·鲍姆贝克,休·杰克曼,冈本多绪,福岛莉拉,"['动作', '科幻']",126分钟,2013,美国 / 英国, 英语 / 日语,6.4
817,哥斯拉 Godzilla,加里斯·爱德华斯,麦克思·鲍伦斯坦,亚伦·泰勒-约翰逊,卡梅隆·CJ·亚当斯,渡边谦,"['动作', '科幻', '冒险', '灾难']",123分钟,2014,美国 / 日本, 英语 / 日语,6.4
818,狂暴巨兽 Rampage,布拉德·佩顿,瑞安·恩格尔,道恩·强森,娜奥米·哈里斯,杰弗里·迪恩·摩根,"['动作', '科幻', '冒险']",107分钟,2018,美国, 英语,6.4
819,忍者神龟：变种时代 Teenage Mutant Ninja Turtles,乔纳森·里贝斯曼,乔什·阿佩尔鲍姆,梅根·福克斯,威尔·阿奈特,威廉·菲德内尔,"['喜剧', '动作', '科幻', '冒险']",101分钟,2014,美国, 英语 / 日语,6.4
820,忍者神龟2：破影而出 Teenage Mutant Ninja Turtles: Out of the Shadows,戴夫·格林,乔什·阿佩尔鲍姆,梅根·福克斯,斯蒂芬·阿梅尔,威尔·阿奈特,"['喜剧', '动作', '科幻', '冒险']",113分钟,2016,美国 / 中国大陆 / 香港 / 加拿大, 英语,6.4
821,异星战场 John Carter,安德鲁·斯坦顿,迈克尔·夏邦,泰勒·克奇,琳恩·柯林斯,托马斯·哈登·丘奇,"['动作', '科幻', '奇幻', '冒险']",132分钟,2012,美国, 英语,6.4
822,童梦奇缘,陈德森,张志光,刘德华,莫文蔚,林家栋,"['剧情', '喜剧', '科幻', '奇幻']",92分钟,2005,中国大陆 / 香港, 粤语,6.4
823,传染病 Contagion,史蒂文·索德伯格,斯科特·Z·本恩斯,玛丽昂·歌迪亚,马特·达蒙,劳伦斯·菲什伯恩,"['剧情', '科幻', '惊悚', '灾难']",106分钟,2011,美国 / 阿联酋, 英语 / 汉语普通话 / 粤语,6.4
824,超级八 Super 8,J·J·艾布拉姆斯,J·J·艾布拉姆斯,乔尔·考特尼,艾丽·范宁,凯尔·钱德勒,"['科幻', '悬疑', '惊悚', '儿童']",112分钟,2011,美国, 英语,6.4
825,幻体：续命游戏 Self/less,塔西姆·辛,大卫·帕斯特尔,瑞恩·雷诺兹,本·金斯利,马修·古迪,"['科幻', '悬疑', '惊悚']",117分钟,2015,美国, 英语,6.4
826,通灵神探 Solace,阿方索·博亚尔特,肖恩·拜利,安东尼·霍普金斯,科林·法瑞尔,杰弗里·迪恩·摩根,"['科幻', '悬疑', '惊悚', '犯罪']",100分钟(中国大陆),2015,美国, 英语,6.4
827,日本沉没 日本沈沒,樋口真嗣,加藤正人,草剪刚,柴崎幸,丰川悦司,"['剧情', '科幻', '冒险', '灾难']",135 分钟,2006,日本, 日语,6.4
828,魔法老师 Absolutely Anything,特瑞·琼斯,特瑞·琼斯,西蒙·佩吉,凯特·贝金赛尔,罗宾·威廉姆斯,"['喜剧', '科幻']",85分钟,2015,英国 / 美国, 英语 / 法语,6.4
829,超级英雄 Superhero Movie,克雷格·麦辛,克雷格·麦辛,德雷克·贝尔,萨拉·帕克斯顿,克里斯托弗·麦克唐纳,"['喜剧', '动作', '科幻', '惊悚', '奇幻']",75 分钟,2008,美国, 英语,6.4
830,异种 Species,罗杰·唐纳森,Dennis Feldman,本·金斯利,迈克尔·马德森,阿尔弗雷德·莫里纳,"['动作', '科幻', '恐怖']",108 分钟,1995,美国, 英语 / 葡萄牙语,6.4
831,天咒 ドラゴンヘッド,饭田让治,望月峰太郎,妻夫木聪,SAYAKA,山田孝之,"['剧情', '科幻', '惊悚', '灾难']",122 分钟,2003,日本, 日语,6.2
832,最后的地球生物 L'ultimo terrestre,Gian Paolo Lomi,Gian Alfonso Pacinotti,Anna Bellato,Teco Celio,Ugo De Cesare,"['剧情', '科幻']",100分钟,2011,意大利, 意大利语,6.2
833,时光骇客 Clockstoppers,乔纳森·弗雷克斯,Rob Hedden,杰西·布拉德福特,鲍拉·加茜丝,朱丽亚·斯维尼,"['科幻', '惊悚', '冒险']",94 分钟,2002,美国, 英语,6.2
834,异型基地 Body Snatchers,阿贝尔·费拉拉,Raymond Cistheri,加布里埃尔·安瓦尔,特里·金尼,比利·沃斯,"['科幻', '悬疑', '惊悚', '恐怖']",87分钟,1993,美国, 英语,6.2
835,像素大战 Pixels,克里斯·哥伦布,提姆·赫利希,亚当·桑德勒,凯文·詹姆斯,米歇尔·莫纳汉,"['喜剧', '动作', '科幻']",106分钟,2015,美国 / 中国大陆, 英语 / 印地语 / 日语,6.1
836,关键第四号 I Am Number Four,D·J·卡卢索,Al Gough,亚历克斯·帕蒂弗,蒂莫西·奥利芬特,泰莉莎·帕尔墨,"['动作', '科幻', '惊悚']",109分钟,2011,美国, 英语 / 法语,6.1
837,美少女特攻队 Sucker Punch,扎克·施奈德,扎克·施奈德,艾米莉·布朗宁,杰米·钟,吉娜·马隆,"['动作', '科幻']",110分钟,2011,美国, 英语,6.1
838,神奇燕尾服 The Tuxedo,凯文·多诺万,马特·曼弗莱迪 ,成龙,詹妮弗·洛芙·休伊特,詹森·艾萨克,"['喜剧', '动作', '科幻', '惊悚']",98 分钟,2002,美国, 英语 / 粤语,6.1
839,太空一号 Lockout,詹姆斯·马瑟,吕克·贝松,盖·皮尔斯,玛姬·格蕾斯,彼得·斯特曼,"['动作', '科幻', '惊悚']",95分钟,2012,美国 / 法国, 英语,6.1
840,人类清除计划3 The Purge: Election Year,詹姆斯·德莫纳克,詹姆斯·德莫纳克,弗兰克·格里罗,伊丽莎白·米切尔,麦凯尔泰·威廉逊,"['科幻', '惊悚', '犯罪']",109分钟,2016,美国, 英语 / 俄语,6.1
841,天地逃生 Gamer,马克·耐沃尔代,马克·耐沃尔代,杰拉德·巴特勒,迈克尔·C·豪尔,卢达克里斯,"['动作', '科幻', '惊悚']",95 分钟,2009,美国, 英语,6.1
842,维克多·弗兰肯斯坦 Victor Frankenstein,保罗·麦奎根,马克斯·兰迪斯  ,詹姆斯·麦卡沃伊,丹尼尔·雷德克里夫,杰西卡·布朗·芬德利,"['剧情', '科幻', '恐怖']",110分钟,2015,美国, 英语,6.1
843,末日侵袭 Doomsday,尼尔·马歇尔,尼尔·马歇尔,罗娜·迈特拉,鲍勃·霍斯金斯,亚历山大·希迪格,"['动作', '科幻', '惊悚']",USA: 105 分钟,2008,英国 / 美国 / 南非 / 德国, 英语,6.1
844,骇战 BBS鄉民的正義,林世勇,林世勇,陈柏霖,陈意涵,修杰楷,"['爱情', '科幻', '悬疑']",105分钟,2012,台湾, 汉语普通话,6.1
845,妖兽都市 妖獸都市,麦大杰,徐克,黎明,李嘉欣,仲代达矢,"['动作', '科幻']",90分钟,1992,香港, 粤语,6.1
846,克隆人 Replicas,杰弗利·纳赫马诺夫,查德·圣·约翰,基努·里维斯,爱丽丝·伊芙,艾米丽·阿琳·林德,"['科幻', '悬疑', '犯罪']",107分钟,2018,英国 / 中国大陆 / 波多黎各 / 美国, 英语,6.1
847,解冻 The Thaw,Mark A. Lewis,Mark A. Lewis,Steph Song,Martha MacIsaac,Aaron Ashmore,"['科幻', '惊悚', '灾难']",Germany: 90 分钟,2009,美国 / 加拿大, 英语,6.1
848,新邻里联防 The Watch,阿吉瓦·沙弗尔,塞斯·罗根,乔纳·希尔,本·斯蒂勒,文斯·沃恩,"['喜剧', '科幻']",102分钟,2012,美国, 英语,6.1
849,摩根 Morgan,卢克·斯科特,赛斯·W·欧文,凯特·玛拉,安雅·泰勒-乔伊,露丝·莱斯利,"['科幻', '悬疑', '惊悚']",92分钟,2016,美国, 英语 / 汉语普通话,6.1
850,末日哲学家 The Philosophers,约翰·赫德斯,约翰·赫德斯,詹姆斯·达西,苏菲·洛,达里尔·沙巴拉,"['剧情', '科幻', '奇幻']",106分钟,2014,美国 / 印度尼西亚, 英语,6.1
851,摩天大楼 High-Rise,本·维特利 ,J·G·巴拉德,汤姆·希德勒斯顿,杰瑞米·艾恩斯,西耶娜·米勒,"['剧情', '科幻', '悬疑']",119分钟,2015,英国 / 爱尔兰 / 比利时, 英语,5.7
852,基因决定我爱你 基因決定我愛妳,李芸婵,李芸婵,余男,何润东,关颖,"['喜剧', '爱情', '科幻']",94分钟,2007,台湾, 汉语普通话,5.7
853,杀戮指令 Kill Command,史蒂文·戈麦斯,史蒂文·戈麦斯,凡妮莎·柯比,托尔·林德哈特,大卫·阿贾拉,"['动作', '科幻', '恐怖']",99分钟,2016,英国, 英语,5.7
854,超能力者 초능력자,金民锡,金民锡,姜栋元,高修,郑恩彩,['科幻'],114分钟,2010,韩国, 韩语 / 韩国语,5.7
855,机械危情 The Machine,卡拉多克·詹姆斯,卡拉多克·詹姆斯,托比·斯蒂芬斯,凯蒂·洛茨,丹尼斯·劳森,"['科幻', '惊悚']",91分钟,2013,英国, 英语,5.7
856,末日浩劫 Los últimos días,大卫·帕斯特尔,大卫·帕斯特尔,基姆·古铁雷斯,何塞·科罗纳多,玛尔塔·埃图拉,"['科幻', '惊悚', '冒险', '灾难']",102分钟,2013,西班牙 / 法国, 西班牙语 / 加泰罗尼亚语,5.7
857,泄密的心 Tell-Tale,迈克尔·科斯塔,戴夫·卡拉汉姆,乔什·卢卡斯,琳娜·海蒂,布莱恩·考克斯,"['剧情', '科幻', '惊悚', '恐怖']",93 分钟,2009,英国 / 美国, 英语,5.7
858,大爆炸 Kaboom,格雷格·阿拉基,格雷格·阿拉基,海莉·贝内特,托马斯·戴克,凯莉·林奇,"['喜剧', '科幻']",86 分钟(法国),2010,美国 / 法国, 英语,5.7
859,变种DNA 2 Mimic 2,让·德·塞贡扎克,Donald A. Wollheim,Alix Koromzay,布鲁诺·坎波斯,爱德华·艾伯特,"['科幻', '惊悚', '恐怖']",82 分钟,2001,美国, 英语,5.7
860,恐怖异形入侵 Alien Raiders,Ben Rock,Julia Fair,卡洛斯·博纳德,Keith Hudson,洛克蒙·邓巴,"['科幻', '惊悚', '恐怖']",85 分钟,2008,美国, 英语,5.7
861,中国超人,华山,倪匡,李修贤,王侠,袁曼姿,"['动作', '科幻']",Germany: 80 分钟,1975,香港, 汉语普通话,5.7
862,此刻只有你共我 I Think We're Alone Now,瑞德·穆拉诺,迈克·马考斯基,彼特·丁拉基,艾丽·范宁,夏洛特·甘斯布,['科幻'],93分钟,2018,美国, 英语,5.7
863,银河奥特曼S剧场版： 决战！奥特10勇士！ 劇場版 ウルトラマンギンガS 決戦! ウルトラ10勇士!!,坂本浩一,小林雄次,根岸拓哉,宇治清高,杉浦太阳,['科幻'],63分钟,2015,日本, 日语,5.7
864,天才J之谜题里的倒计时,曾庆杰,陈思宇,陈思宇,王子清,小夕,"['科幻', '悬疑']",75分钟,2018,中国大陆, 汉语普通话,5.7
865,铁男：子弹人 鉄男 THE BULLET MAN,冢本晋也,Eric Bossick,桃生亚希子,类型:,动作,"['动作', '科幻']",71分钟,2009,日本, 英语,5.7
866,预兆 予兆 散歩する侵略者 劇場版,黑泽清,高桥洋,夏帆,染谷将太,东出昌大,['科幻'],140分钟,2017,日本, 日语,5.7
867,独立日2：卷土重来 Independence Day: Resurgence,罗兰·艾默里奇,罗兰·艾默里奇,利亚姆·海姆斯沃斯,杰夫·高布伦,比尔·普尔曼,"['动作', '科幻', '冒险', '灾难']",120分钟,2016,美国, 英语 / 汉语普通话 / 阿拉伯语,5.6
868,魔力女战士 Æon Flux,卡瑞恩·库萨马,Phil Hay,查理兹·塞隆,马尔顿·索克斯,约翰尼·李·米勒,"['动作', '科幻', '冒险']",93 分钟,2005,美国, 英语,5.6
869,我的超级前女友 My Super Ex-Girlfriend,伊万·雷特曼,唐·佩恩,乌玛·瑟曼,卢克·威尔逊,安娜·法瑞丝,"['喜剧', '爱情', '科幻']",95 分钟,2006,美国, 英语,5.6
870,魔鬼山历险记 Race to Witch Mountain,安迪·菲克曼,Matt Lopez,道恩·强森,安娜索菲亚·罗伯,亚历山大·路德韦格,"['科幻', '惊悚', '家庭', '奇幻', '冒险']",98 分钟,2009,美国, 英语,5.6
