,a,c,e,g,i,k,l,m,n,o,p,q
3415,废柴特工 American Ultra,尼玛·诺里扎德,马克斯·兰迪斯  ,杰西·艾森伯格,克里斯汀·斯图尔特,沃尔顿·戈金斯,"['喜剧', '动作']",96分钟,2015,美国 / 瑞士, 英语,6.0
3416,男人不可以穷 男人唔可以窮,钟澍佳,郭建乐,黄宗泽,陈伟霆,谢天华,"['剧情', '喜剧']",104分钟,2014,香港 / 中国大陆, 汉语普通话 / 粤语,6.0
3417,鬼马狂想曲,韦家辉,韦家辉,刘青云,古天乐,陈小春,['喜剧'],103 分钟,2004,香港, 粤语,6.0
3418,撕裂人 Slither,詹姆斯·古恩,詹姆斯·古恩,内森·菲利安,伊丽莎白·班克斯,塔尼亚·索尔尼尔,"['喜剧', '科幻', '恐怖']",95 分钟,2006,加拿大 / 美国, 英语,6.0
3419,爱到底,方文山,方文山,刘心悠,范逸臣,陈柏霖,"['剧情', '喜剧', '爱情']",93 分钟,2009,台湾, 汉语普通话 / 台语,6.0
3420,这不是斯巴达 Meet The Spartans,贾森·弗莱德伯格,贾森·弗莱德伯格,西恩·马奎尔,卡门·伊莱克特拉,肯·戴维蒂安,['喜剧'],86分钟,2008,美国, 英语,6.0
3421,格列佛游记 Gulliver's Travels,罗伯·莱特曼,乔·斯蒂尔曼,杰克·布莱克,艾米莉·布朗特,杰森·席格尔,"['喜剧', '冒险']",82分钟,2010,美国, 英语,6.0
3422,念力 염력,延尚昊,延尚昊,柳承龙,沈恩京,朴正民,"['剧情', '喜剧', '奇幻']",101分钟,2018,韩国, 韩语,5.5
3423,天庭外传,陈志华,邓家惠,林志颖,郝劭文,释小龙,"['喜剧', '动作', '奇幻', '武侠', '古装']",97分钟,1997,香港, 汉语普通话,5.5
3424,心想事成,郑中基,郑中基,郑中基,梁家辉,方力申,"['喜剧', '爱情', '奇幻']",Hong Kong: 105 分钟,2007,香港, 粤语,5.5
3425,大贏家,高志森,麦嘉,许冠杰,谢霆锋,林心如,['喜剧'],91分钟,2000,香港, 粤语,5.5
3426,长江7号：超萌特攻队,简耀宗,覃伟业,徐娇,石班瑜,林簌,"['喜剧', '动画', '家庭']",80分钟,2015,中国大陆 / 香港, 汉语普通话 / 粤语,5.5
3427,新宿天鹅2 新宿スワン 2,园子温,水岛力也,绫野刚,浅野忠信,伊势谷友介,"['喜剧', '动作']",133分钟,2017,日本, 日语,5.5
3428,阴阳路7：撞到正,南燕,南燕,古天乐,雷宇扬,李蕙敏,"['喜剧', '恐怖']",93分钟,2000,香港, 粤语,5.5
3429,我恨情人节 I Hate Valentine's Day,妮娅·瓦达拉斯,妮娅·瓦达拉斯,约翰·考伯特,妮娅·瓦达拉斯,Stephen Guarino,"['喜剧', '爱情']",98分钟,2009,美国, 英语,5.5
3430,重装上阵 Once Upon a Time in Venice,马克·卡伦,马克·卡伦,布鲁斯·威利斯,约翰·古德曼,杰森·莫玛,"['喜剧', '动作', '惊悚']",94分钟,2017,美国, 英语,5.5
3431,悲剧女孩 Tragedy Girls,泰勒·麦金泰尔,克里斯·李·希尔,布里安娜·希德布兰德,亚历山德拉·希普,杰克·奎德,"['喜剧', '恐怖']",98分钟,2017,美国, 英语,5.5
3432,诅咒 Cursed,韦斯·克雷文,凯文·威廉姆森,波西亚·德·罗西,莎诺·伊丽莎白,米洛·文堤米利亚,"['喜剧', '惊悚', '恐怖', '奇幻']",97 分钟,2005,美国 / 德国, 英语,5.5
3433,下流高校 Dirty Deeds,David Kendall,Jon Land,米洛·文堤米利亚,莱西·沙伯特,查尔斯·德恩,['喜剧'],87 分钟,2005,美国, 英语,5.5
3434,僵尸小屁孩 Cooties,乔纳森·米洛特,伊安·布瑞南,伊莱贾·伍德,艾丽森·皮尔,雷恩·威尔森,"['喜剧', '动作', '科幻', '恐怖']",88分钟,2014,美国, 英语,5.5
3435,折磨 Tormented,乔·怀特,Stephen Prentice,亚历克斯·帕蒂弗,艾普萝·皮尔森,迪米特里·列奥尼达斯,"['喜剧', '恐怖']",91分钟,2009,英国, 英语,5.5
3436,海德女士 Madame Hyde,赛尔日·波宗,赛尔日·波宗,伊莎贝尔·于佩尔,罗曼·杜里斯,何塞·加西亚,"['喜剧', '奇幻']",95分钟,2017,法国 / 比利时, 法语,5.5
3437,年少轻狂,戴睿,贾桢,陈妍希,郑恺,包贝尔,"['喜剧', '爱情']",90分钟,2015,中国大陆, 汉语普通话,3.7
3438,囧人之越挠越痒,李华彤,王靖,高捷,刘畊宏,周晓鸥,"['剧情', '喜剧']",89分钟,2013,中国大陆, 汉语普通话,3.7
3439,猪猪侠之勇闯巨人岛,古志斌,王晓莉,陆双,祖晴,陈志荣,"['喜剧', '动画', '冒险']",88分钟,2014,中国大陆, 汉语普通话,3.7
3440,鲨卷风 Sharknado,安东尼·C·费兰特,杉德·莱文,伊恩·齐林,塔拉·雷德,卡茜·瑟波,"['喜剧', '科幻', '恐怖']",86分钟,2013,美国, 英语,3.7
3441,电商时代,陈晓曦,陈晓曦,范逸臣,孟鹏,付曼,"['剧情', '喜剧']",95分钟,2015,中国大陆, 汉语普通话,3.7
3442,吸血鬼之恋 恋する♡ヴァンパイア,鈴木舞,鈴木舞,桐谷美玲,户塚祥太,三户夏芽,"['喜剧', '爱情']",102分钟(日本),2015,日本, 日语,3.7
3443,宝马狂想曲,李麒麟,李麒麟,陈小春,戎祥,熊乃瑾,['喜剧'],90分钟,2012,中国大陆, 汉语普通话 / 粤语 / 重庆话,3.7
3444,超萌英雄,欧阳奋强,王兵,欧弟,杨舒婷,成泰燊,"['喜剧', '爱情', '冒险']",89分钟,2014,中国大陆, 汉语普通话,3.7
3445,垫底联盟,王文,王文,余玥,季肖冰,卢蒽洁,"['剧情', '喜剧']",97分钟,2017,中国大陆, 汉语普通话,3.7
3446,不爱不散,周君,甄栢荣,邓丽欣,何炅,苏永康,"['喜剧', '爱情']",95分钟,2013,中国大陆, 汉语普通话,3.7
3447,大话西游3,刘镇伟,刘镇伟,韩庚,唐嫣,吴京,"['喜剧', '爱情', '奇幻']",93分钟,2016,中国大陆 / 香港, 汉语普通话,3.6
3448,欧洲攻略,马楚成,小彭,梁朝伟,吴亦凡,唐嫣,"['喜剧', '动作', '爱情']",100分钟,2018,中国大陆 / 英国, 粤语 / 英语 / 汉语普通话 / 意大利语 / 克林贡语,3.6
3449,李雷和韩梅梅,杨永春,肖李任颐,张子枫,张逸杰,成梓宁,"['剧情', '喜剧', '爱情']",90分钟,2017,中国大陆, 汉语普通话,3.6
