,a,c,e,g,i,k,l,m,n,o,p,q
3331,冰封：重生之门,罗永昌,林逢,甄子丹,王宝强,黄圣依,"['喜剧', '动作', '奇幻']",91分钟(中国大陆),2014,中国大陆, 汉语普通话 / 粤语,3.7
3332,无价之宝,姜国民,王晶,张柏芝,郑中基,邵兵,['喜剧'],94分钟,2011,中国大陆 / 香港, 汉语普通话 / 粤语,3.7
3333,大胃王,罗惠德,张江南,潘长江,郭德纲,许慧欣,['喜剧'],95分钟,2010,中国大陆, 汉语普通话,3.7
3334,临时演员,钱江汉,郑恺,郑恺,热依扎,郭晓东,"['喜剧', '爱情']",93分钟,2017,中国大陆, 汉语普通话,3.7
3335,浪漫天降,宁瀛,尤丽丽,夏雨,关晓彤,邱泽,"['喜剧', '爱情']",93分钟,2015,中国大陆, 汉语普通话,3.7
3336,谁动了我的梦想,王伟,仧縯,立威廉,张蓝心,胡兵,"['剧情', '喜剧', '爱情']",90分钟,2014,中国大陆, 汉语普通话,3.7
3337,临时保姆2 Babysitting 2,尼可拉斯·本纳莫,朱利安·阿鲁蒂,菲利普·拉肖,爱丽丝·戴维,樊尚·德扎尼亚,['喜剧'],93分钟,2015,法国, 法语,7.3
3338,救姜刑警,阮世生,阮世生,吴镇宇,狄龙,张家辉,"['喜剧', '犯罪']",100分钟,2000,香港, 粤语,7.3
3339,光复节特赦 광복절특사,金相辰,车胜元,车胜元,薛耿求,宋允儿,['喜剧'],121 分钟,2002,韩国, 韩语,7.3
3340,飞车手罗德 Hot Rod,阿吉瓦·沙弗尔,Pam Brady,安迪·萨姆伯格,乔玛·塔科内,艾拉·菲舍尔,['喜剧'],USA: 88 分钟,2007,美国, 英语,7.3
3341,不凡之路 The Road Within,格伦·威尔斯,格伦·威尔斯,戴夫·帕特尔,佐伊·克罗维兹,罗伯特·帕特里克,"['剧情', '喜剧']",100分钟,2014,美国, 英语,7.3
3342,577计划 577 프로젝트,Yi Keun-Woo,河正宇,孔晓振,河正宇,类型:,"['剧情', '喜剧', '冒险']",99分钟,2012,韩国, 韩语,7.3
3343,失魂家族 Sitcom,弗朗索瓦·欧容,弗朗索瓦·欧容,Évelyne Dandry,François Marthouret,玛丽娜·德·范,"['剧情', '喜剧', '惊悚']",85 分钟,1998,法国, 法语,7.3
3344,借你的手儿牵 Prête-moi ta main,艾里克·拉缇戈,Philippe Mechelen,阿兰·夏巴,夏洛特·甘斯布,贝纳德特·拉封,"['喜剧', '爱情']",France: 90 分钟,2006,法国, 法语,7.3
3345,金丝笼 La cage dorée,鲁本·阿尔维斯,鲁本·阿尔维斯,丽塔·布兰科,乔昆姆·德·阿尔梅达,罗兰·吉罗,['喜剧'],90分钟,2013,法国, 法语 / 葡萄牙语 / 英语,7.3
3346,蓝色杰伊 Blue Jay,亚历克斯·莱曼,马克·杜普拉斯,马克·杜普拉斯,莎拉·保罗森,克鲁·古拉格,"['剧情', '喜剧', '爱情']",80分钟,2016,美国, 英语,7.3
3347,波兰爱经 Sztuka kochania. Historia Michaliny Wisłockiej,玛丽亚·萨多夫斯卡,克日什托夫·拉克,玛达琳娜·波扎斯卡,彼得·亚当奇克,卡罗利娜·格鲁什卡,"['喜剧', '爱情', '传记']",121分钟,2017,波兰, 波兰语 / 德语,7.3
3348,三十年细说从头 三十年細說從頭,李翰祥,李翰祥,刘永,戴良纯,邵音音,"['剧情', '喜剧', '情色']",92分钟,1982,香港, 汉语普通话,7.3
3349,迷离劫 Irma Vep,奥利维耶·阿萨亚斯,奥利维耶·阿萨亚斯,张曼玉,让-皮埃尔·利奥德,娜塔莉·理查德,"['剧情', '喜剧']",99分钟,1996,法国, 法语 / 英语,7.3
3350,好运理发师 Billu,Priyadarshan,Manisha Korde,伊尔凡·可汗,沙鲁克·汗,拉腊·杜塔,"['剧情', '喜剧']",137 分钟,2009,印度, 北印度语,7.3
3351,古惑丑拍档 Turner & Hooch,罗杰·斯波蒂斯伍德,丹尼斯·施赖克,汤姆·汉克斯,梅尔·温宁汉姆,格雷格·T·尼尔森,"['喜剧', '惊悚', '犯罪']",97 分钟,1989,美国, 英语,7.3
3352,灼热的马鞍 Blazing Saddles,梅尔·布鲁克斯,梅尔·布鲁克斯,克力文·李托,吉恩·怀尔德,斯利姆·佩金斯,"['喜剧', '西部']",93 分钟,1974,美国, 英语 / 意第绪语 / 德语,7.3
3353,小嗓门 Little Voice,Mark Herman,Mark Herman,伊万·麦克格雷格,迈克尔·凯恩,简·霍洛克斯,"['剧情', '喜剧', '爱情', '音乐']",97 分钟,1998,英国, 英语,7.3
3354,西班牙处男 Krámpack,Cesc Gay,Cesc Gay,Fernando Ramallo,Jordi Vilches,Marieta Orozco,"['剧情', '喜剧', '爱情', '同性']",91 分钟,2000,西班牙, 加泰罗尼亚语 / 西班牙语 / 英语,7.0
3355,多余的人 The Extra Man,莎里·斯宾厄·伯曼,莎里·斯宾厄·伯曼,Katie Holmes,Paul Dano,John C. Reilly,['喜剧'],108分钟,2010,美国 / 法国, 英语,7.0
3356,警察学校5：迈阿密之旅 Police Academy 5: Assignment Miami Beach,Alan Myerson,尼尔·伊斯雷尔,Bubba Smith,David Graf,迈克尔·温斯洛,"['喜剧', '犯罪']",90分钟,1988,美国, 英语,7.0
