,a,c,e,g,i,k,l,m,n,o,p,q
1367,鬼网 鬼網,黄国强,杜瑞榕,陈家乐,麦子乐,郭奕芯,"['悬疑', '惊悚', '恐怖']",98分钟,2017,香港, 粤语,4.9
1368,屋顶的散步者 屋根裏の散歩者,窪田将治,江户川乱步,木岛法子,间宫夕贵,河合龙之介,"['剧情', '悬疑', '惊悚']",113分钟,2016,日本, 日语,4.9
1369,阴阳路12：美容尸,叶伟英,林华勋,罗兰,张慧仪,邝文洵,"['喜剧', '悬疑', '恐怖']",87分钟,2001,香港, 粤语,4.9
1370,床下有人,牛朝阳,牛朝阳,何可人,郭晓然,武文佳,"['悬疑', '惊悚']",100分钟,2011,中国大陆, 汉语普通话,2.8
1371,孤岛惊魂2,钟继昌,方思行,邓家佳,陈志朋,类型:,"['悬疑', '惊悚', '恐怖']",93分钟,2012,中国大陆, 汉语普通话 / 泰语,2.8
1372,怖偶,王松,唐明智,郑昊,小彩旗,阚清子,"['悬疑', '惊悚']",88分钟,2014,中国大陆, 汉语普通话,2.8
1373,人间蒸发,梁德森,梁德森,柳岩,李灿森,钟丽缇,"['悬疑', '惊悚']",90分钟,2013,中国大陆 / 香港, 汉语普通话 / 粤语 / 日语,2.8
1374,模特魅影,佟秀玄,佟秀玄,倪慕斯,杨骏,唐宁,"['剧情', '悬疑', '惊悚']",108分钟,2013,中国大陆, 汉语普通话,2.8
1375,封门村,邢博,胡小帅,陈亦飞,徐冬冬,包小柏,"['悬疑', '惊悚']",86分钟,2014,中国大陆, 汉语普通话,2.8
1376,楼,李远,程力栋,林心如,谭耀文,陈司翰,"['悬疑', '惊悚']",85分钟,2013,中国大陆, 汉语普通话,2.8
1377,林中小屋,邓特希,邓特希,王宗尧,李昕岳,杜奕衡,"['爱情', '悬疑']",95分钟,2014,中国大陆 / 香港, 汉语普通话 / 粤语,2.8
1378,碟仙诡谭2,雷宇扬,蒲新月,张韶涵,方力申,惠英红,"['悬疑', '惊悚']",86分钟,2017,中国大陆, 汉语普通话,2.8
1379,诡魇,车悦,车悦,李欣聪,裘斯,周凯文,"['悬疑', '惊悚']",90分钟,2013,中国大陆, 汉语普通话,2.8
1380,心咒,李唯劼,唐川,朱智勋,徐洁儿,刘芷汐,"['悬疑', '惊悚']",95分钟,2013,中国大陆, 汉语普通话,2.8
