,a,c,e,g,i,k,l,m,n,o,p,q
107,神呀神！你为何离弃我？ エリ・エリ・レマ・サバクタニ,青山真治,青山真治,浅野忠信,宫崎葵,冈田茉莉子,"['剧情', '科幻', '音乐']",107分钟(法国),2005,日本, 日语,7.3
108,棉花俱乐部 The Cotton Club,弗朗西斯·福特·科波拉,威廉·肯尼迪,理查·基尔,戴安·琳恩,格里高利·海因斯,"['剧情', '音乐', '犯罪']",127 分钟,1984,美国, 英语 / 意大利语,7.3
109,美国谎言 Telling Lies in America,Guy Ferland (I),乔·埃泽特哈斯,Brad Renfro,Kevin Bacon,类型:,"['剧情', '音乐']",101 分钟,1997,美国, 英语,7.3
110,犯罪河岸 Quai des Orfèvres,Henri-Georges Clouzot,亨利-乔治·克鲁佐,Suzy Delair,Bernard Blier,Louis Jouvet,"['剧情', '音乐', '犯罪']",106 分钟,1947,法国, 法语,7.3
111,爵士乐手 Bird,克林特·伊斯特伍德,乔尔·奥利安斯基,福里斯特·惠特克,戴安·维诺拉,Michael Zelniker,"['剧情', '音乐', '传记']",161 分钟,1988,美国, 英语,7.3
112,一个明星的诞生 A Star Is Born,布莱德利·库珀,艾瑞克·罗斯,Lady Gaga,布莱德利·库珀,山姆·艾里奥特,"['剧情', '爱情', '音乐']",135分钟,2018,美国, 英语,7.2
113,重金摇滚双面人 デトロイト・メタル・シティ,李斗士男,若杉公德,松山研一,加藤罗莎,秋山竜次,"['剧情', '音乐']",104分钟,2008,日本, 日语,7.2
114,少年手指虎 少年メリケンサック,宫藤官九郎,宫藤官九郎,宫崎葵,佐藤浩市,田口智朗,"['喜剧', '音乐']",125 分钟,2008,日本, 日语,7.2
115,婚礼歌手 The Wedding Singer,弗兰克·克拉斯,提姆·赫利希,亚当·桑德勒,德鲁·巴里摩尔,克里斯蒂娜·泰勒,"['喜剧', '爱情', '音乐']",95 分钟,1998,美国, 英语,7.2
116,伤心的奶水 La teta asustada,克劳迪亚·略萨,克劳迪亚·略萨,玛佳丽·索利埃,Susi Sánchez,Efraín Solís,"['剧情', '音乐']",Argentina: 95 分钟,2009,秘鲁 / 西班牙, 西班牙语 / 克丘亚语,7.2
117,味园Universe 味園ユニバース,山下敦弘,菅野友惠,涩谷昴,二阶堂富美,铃木纱理奈,"['剧情', '喜剧', '音乐']",103分钟,2015,日本, 日语,7.2
118,末世纪暴潮 Strange Days,凯瑟琳·毕格罗,詹姆斯·卡梅隆,拉尔夫·费因斯,安吉拉·贝塞特,朱丽叶特·刘易斯,"['剧情', '动作', '科幻', '悬疑', '惊悚', '音乐', '犯罪', '奇幻']",145 分钟,1995,美国, 英语,7.2
119,神童,萩生田宏治,向井康介,成海璃子,松山研一,手塚理美,"['剧情', '音乐']",120分钟(日本),2007,日本, 日语,7.2
120,倾听你心 Listen to Your Heart,马特·汤普森,Kent Moran,斯碧尔·谢波德,厄尼·萨贝拉,艾莉克希娅·拉斯姆森,"['剧情', '爱情', '音乐']",102分钟,2010,美国, 英语,7.2
121,老人交响乐团 オケ老人！,细川彻,细川彻,杏,黑岛结菜,坂口健太郎,"['喜剧', '音乐']",119分钟,2016,日本, 日语,7.2
122,摇滚斗阵 Bandslam,托德·格拉夫,Josh A. Cagan,艾莉森·米夏卡,凡妮莎·哈金斯,盖南·科内尔,"['喜剧', '音乐']",111分钟,2009,美国, 英语,6.9
123,女狼俱乐部 Coyote Ugly,David McNally,吉娜·温德科斯,派珀·佩拉博,亚当·加西亚,约翰·古德曼,"['剧情', '喜剧', '爱情', '音乐']",100 分钟,2000,美国, 英语,6.9
124,中央舞台2 Center Stage: Turn It Up,史蒂文·雅各布森,凯伦·布洛赫·莫斯,瑞秋·布鲁克·史密斯,肯尼·沃莫尔德 ,莎拉·珍恩·杰森,"['剧情', '音乐']",95分钟,2008,美国 / 加拿大, 英语,6.9
125,魔鬼小提琴家帕格尼尼 Der Teufelsgeiger,Bernard Rose,大卫·葛瑞特,大卫·葛瑞特,类型:,剧情,"['剧情', '音乐']",122分钟,2013,德国 / 意大利, 英语,6.9
126,黄色 Yellow,Alfredo De Villa,Nacoma Whobrey,罗塞莉·桑切斯,比尔·杜克,D·B·斯威尼,"['剧情', '爱情', '音乐', '歌舞']",USA: 90 分钟,2006,美国 / 波多黎各, 英语 / 西班牙语,6.9
127,爱之食粮 Food Of Love,Ventura Pons,David Leavitt,Paul Rhys,Kevin Bishop,Naím Thomas,"['剧情', '同性', '音乐']",112 分钟,2002,西班牙 / 德国, 英语,6.9
128,柠檬大嘴巴 Lemonade Mouth,派翠西亚·里根,April Blair,布丽奇·门德勒,亚当·希克斯,海莉·清子,"['剧情', '喜剧', '爱情', '音乐', '家庭']",106分钟,2011,美国, 英语,6.9
129,地震调音师 The Piano Tuner of Earthquakes,史蒂芬·奎,史蒂芬·奎,阿蜜拉·卡萨,高夫莱德·约翰,阿松波塔·塞尔纳,"['剧情', '爱情', '音乐', '奇幻']",USA: 99 分钟,2005,德国 / 英国 / 法国, 葡萄牙语 / 英语,6.9
130,下流与智慧 Filth and Wisdom,麦当娜,麦当娜,Ade,Gogol Bordello,Elena Buda,"['剧情', '喜剧', '爱情', '音乐']",UK: 81 分钟(PAL Version),2008,英国, 英语 / 俄语 / 印地语,6.9
131,迷惑 La Captive,香特尔·阿克曼,香特尔·阿克曼,斯坦尼斯拉斯·莫哈,西尔维·泰斯蒂,奥利维亚·波纳梅,"['剧情', '爱情', '音乐']",118 分钟,2000,比利时 / 法国, 法语,6.9
132,生活的颤音,滕文骥,滕文骥,史钟麒,冷眉,项茔,"['剧情', '音乐', '历史']",107分钟,1979,中国大陆, 汉语普通话,6.9
133,新美国故事 ATL,Chris Robinson,Tina Gordon Chism,Greg Andrews,Monica Arnold,Brandon Bernard Benton,"['剧情', '喜剧', '爱情', '音乐', '犯罪']",105 分钟,2006,美国, 英语,6.9
134,寻找爱情的下落 Vom Suchen und Finden der Liebe,Helmut Dietl,Helmut Dietl,莫里兹·布雷多,亚历山德拉·玛丽亚·拉娜,乌韦·奥克森克内希特,"['剧情', '喜剧', '爱情', '音乐', '奇幻']",107分钟,2005,德国, 德语 / 希腊语,6.9
135,蓝色骨头,崔健,崔健,赵有亮,倪虹洁,尹昉,"['剧情', '音乐']",100分钟,2013,中国大陆, 汉语普通话,6.8
136,莉琪的异想世界 The Lizzie McGuire Movie,吉姆·弗尔,Ed Decter,希拉里·达芙,亚当·兰伯格,雅尼·吉尔曼,"['喜剧', '爱情', '音乐', '家庭', '冒险']",94 分钟,2003,美国, 英语 / 意大利语,6.8
137,前往希腊剧院 Get Him to the Greek,尼古拉斯·斯托勒,尼古拉斯·斯托勒,拉塞尔·布兰德,乔纳·希尔,萝丝·拜恩,"['喜剧', '音乐', '冒险']",109 分钟,2010,美国, 英语,6.8
