拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,,Karen Disher,,Glenn Eichler,,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice),,Tracy Grandstaff ...  Daria Morgendorffer (voice),,Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),"['剧情', '喜剧', '动画']",90分钟,2002,USA, english,9.4
科学怪狗 Frankenweenie,,蒂姆·波顿,,约翰·奥古斯特,,马丁·肖特,,凯瑟琳·欧哈拉,,马丁·兰道,"['喜剧', '科幻', '动画', '恐怖']",87分钟,2012,美国, 英语,7.5
逗鸟外传：萌宝满天飞 Storks,,尼古拉斯·斯托勒,,尼古拉斯·斯托勒,,安迪·萨姆伯格,,凯蒂·克朗,,凯尔希·格兰莫,"['喜剧', '动画', '奇幻', '冒险']",87分钟,2016,美国, 英语,7.5
机器人历险记 Robots,,克里斯·韦奇,,大卫·林赛-阿贝尔,,伊万·麦克格雷格,,罗宾·威廉姆斯,,哈莉·贝瑞,"['喜剧', '动画', '冒险']",91 分钟,2005,美国, 英语 / 意大利语,7.5
龙之谷：破晓奇兵,,宋岳峰,,卓然,,胡歌,,景甜,,徐娇,"['动画', '奇幻', '冒险']",88分钟,2014,中国大陆, 汉语普通话 / 粤语,7.5
小红帽 Hoodwinked!,,柯瑞·爱德华兹,,柯瑞·爱德华兹,,安妮·海瑟薇,,格伦·克洛斯,,詹姆斯·贝鲁什,"['喜剧', '动画', '奇幻']",80分钟,2005,美国, 英语,7.5
苹果核战记 アップルシード,,荒牧伸志,,士郎正宗,,小林爱,,小杉十郎太,,松冈由贵,"['动作', '科幻', '动画']",101分钟,2004,日本, 日语,7.5
亚特兰蒂斯：失落的帝国 Atlantis: The Lost Empire,,加里·特洛斯达勒,,泰布·墨菲,,迈克尔·J·福克斯,,詹姆斯·加纳,,伦纳德·尼莫伊,"['科幻', '动画', '家庭', '冒险']",95 分钟,2001,美国, 英语,7.5
正义联盟：毁灭 Justice League: Doom,,劳伦·蒙哥马利,,Dwayne McDuffie,,凯文·康瑞,,蒂姆·达利,,苏珊·爱森伯格,"['动作', '科幻', '动画', '奇幻']",75分钟,2012,美国, 英语,7.5
星游记之风暴法米拉,,胡一泊,,刘磊,,陶典,,小连杀,,山新,"['动作', '动画', '奇幻', '冒险']",69分钟,2017,中国大陆, 汉语普通话,7.5
苹果核战记2 エクスマキナ,,荒牧伸志,,竹内清人,,小林爱,,山寺宏一,,岸祐二,"['动作', '科幻', '动画', '惊悚']",USA: 103 分钟(DVD version),2007,日本, 日语,7.5
康斯坦丁：恶魔之城 电影版 Constantine City of Demons: The Movie,,道格·墨菲,,J·M·德马泰,,马特·瑞安,,达米恩·奥哈尔,,劳拉·贝莉,"['动画', '恐怖', '奇幻']",90分钟,2018,美国, 英语,7.5
妖兽都市 妖獣都市,,川尻善昭,,菊地秀行,,屋良有作,,藤田淑子,,永井一郎,"['动画', '恐怖', '奇幻']",82分钟,1987,日本, 日语,7.5
乌鸦之日 Le Jour des Corneilles,,Jean Christophe Dessaint,,Amandine Taffin,,洛兰特·道驰,,让·雷诺,,伊莎贝尔·卡雷,['动画'],96分钟,2012,法国, 法语,7.5
魔发精灵 Trolls,,迈克·米切尔,,乔纳森·阿贝尔,,安娜·肯德里克,,贾斯汀·汀布莱克,,佐伊·丹斯切尔,"['动画', '歌舞', '奇幻', '冒险']",93分钟,2016,美国, 英语,7.2
冲浪企鹅 Surf's Up,,艾什·布兰农,,艾什·布兰农,,希亚·拉博夫,,杰夫·布里吉斯,,佐伊·丹斯切尔,"['喜剧', '动画', '家庭', '运动']",85 分钟,2007,美国, 英语,7.2
黑暗扫描仪 A Scanner Darkly,,理查德·林克莱特,,理查德·林克莱特,,基努·里维斯,,小罗伯特·唐尼,,Casey Chapman,"['剧情', '科幻', '动画', '悬疑', '惊悚', '犯罪']",100 分钟,2006,美国, 英语,7.2
变焦 Zoom,,佩德罗·莫雷利 ,,马特·汉森,,盖尔·加西亚·贝纳尔,,艾丽森·皮尔,,玛里亚娜·希梅内斯,"['剧情', '喜剧', '动画']",96分钟,2015,巴西 / 加拿大, 葡萄牙语 / 英语,7.2
超人与蝙蝠侠：公众之敌 Superman/Batman: Public Enemies,,Sam Liu,,Stan Berkowitz,,Kevin Conroy,,类型:,,剧情,"['剧情', '动作', '动画']",67分钟,2009,美国, 英语,7.2
仙履奇缘3： 时间魔法 Cinderella III: A Twist in Time,,Frank Nissen,,Margaret Heidenry,,詹妮弗·黑尔,,Christopher Daniel Barnes,,露西·泰勒,"['爱情', '动画', '家庭', '奇幻']",74分钟,2007,美国, 英语,7.2
安娜斯塔西娅 Anastasia,,唐·布鲁斯,,Susan Gauthier,,梅格·瑞恩,,约翰·库萨克,,凯尔希·格兰莫,"['剧情', '动画', '歌舞', '家庭', '冒险']",94 分钟,1997,美国, 英语 / 俄语 / 法语,7.2
美丽密语 마리이야기,,李成康,,Mi-ae Seo,,柳德焕,,安圣基,,孔炯轸,"['剧情', '动画', '奇幻']",79分钟,2002,韩国, 韩语,7.2
复活 Renaissance,,克里斯蒂安·福克曼,,Mathieu Delaporte,,丹尼尔·克雷格,,萝玛拉·嘉瑞,,伊安·霍姆,"['动作', '科幻', '动画', '惊悚']",105 分钟,2006,法国 / 英国 / 卢森堡, 英语,7.2
全明星超人 All-Star Superman,,Sam Liu,,Dwayne McDuffie,,克里斯蒂娜·亨德里克斯,,Linda Cardellini,,Matthew Gray Gubler,['动画'],75分钟,2011,美国, 英语,7.2
芭比之仙子的秘密 Barbie: A Fairy Secret,,William Lau,,Elise Allen,,Diana Kaarina,,Adrian Petriw,,Brittney Irvin,"['动画', '家庭', '奇幻']",72分钟(美国),2011,美国, 英语,7.2
青葱岁月 소중한 날의 꿈,,安在勋,,宋惠真,,宋昌义,,吴涟序,,朴信惠,"['剧情', '动画', '家庭']",98分钟,2010,韩国, 韩语,7.2
外星人狙击战 ムタフカズ,,西见祥示郎,,巴尔吉特·拉伊,,克里斯·贾伊·阿历克斯,,安东尼奥·阿尔瓦雷斯,,迪诺·安德拉德,"['动作', '科幻', '动画']",90分钟,2017,法国 / 日本, 法语,7.2
神秘的女蝙蝠侠 Batman: Mystery of the Batwoman,,Curt Geda,,Alan Burnett,,凯文·康瑞,,塔拉·斯特朗,,凯拉·塞吉维克,"['动作', '动画', '悬疑', '冒险']",Argentina: 74 分钟,2003,美国, 英语,7.2
愤怒的小鸟 Angry Birds,,费格尔·雷利,,约翰·维蒂,,杰森·苏戴奇斯,,乔什·加德,,丹尼·麦克布莱德,"['喜剧', '动画', '冒险']",97分钟,2016,芬兰 / 美国, 英语,7.1
香肠派对 Sausage Party,,康拉德·弗农,,塞斯·罗根,,塞斯·罗根,,克里斯汀·韦格,,詹姆斯·弗兰科,"['喜剧', '动画', '冒险']",89分钟,2016,美国, 英语,7.1
鬼作秀3 Creepshow 3,,Ana Clavell,,Ana Clavell,,AJ·鲍恩,,Kris Allen,,Stephanie Pettee,"['动画', '恐怖', '奇幻']",104分钟,2006,美国, 英语,6.8
冰冻星球 Titan A.E.,,Art Vitello,,Ben Edlund,,马特·达蒙,,比尔·普尔曼,,约翰·雷吉扎莫,"['科幻', '动画', '家庭', '冒险']",94 分钟,2000,美国, 英语,6.8
高地人：复仇之旅 Highlander: The Search for Vengeance,,川尻善昭,,David Abramowitz,,Alistair Abell,,Dave B. Mitchell,,Hank Banks,"['动作', '科幻', '动画', '奇幻']",97分钟,2007,美国, 英语,6.8
