拽妹黛薇儿要上大学了没 Daria: Is it College Yet?,,Karen Disher,,Glenn Eichler,,Geoffrey Arend ...  Charles 'Upchuck' Ruttheimer III (voice),,Tracy Grandstaff ...  Daria Morgendorffer (voice),,Rand Bridges ...  Professor Bill Woods (voice) (as H.R. Bridges),"['剧情', '喜剧', '动画']",90分钟,2002,USA, english,9.4
麦兜·我和我妈妈 麥兜‧我和我媽媽,,谢立文,,谢立文,,黄磊,,吴君如,,张正中,"['喜剧', '动画', '家庭']",81分钟,2014,香港 / 中国大陆, 汉语普通话 / 粤语,8.4
养家之人 The Breadwinner,,诺拉·托梅,,安妮塔·多兰,,莎拉·乔德利,,索玛·查亚,,诺林·古拉姆高斯,"['剧情', '动画', '家庭']",94分钟,2017,爱尔兰 / 加拿大 / 卢森堡, 英语,8.4
凯尔经的秘密 The Secret of Kells,,汤姆·摩尔,,汤姆·摩尔,,伊万·麦克奎尔,,克里斯滕·穆尼,,布莱丹·格里森,"['动画', '奇幻', '冒险']",75分钟,2009,爱尔兰 / 法国 / 比利时, 英语 / 爱尔兰语 / 苏格兰盖尔语,8.4
机动警察剧场版1 機動警察パトレイバー the Movie,,押井守,,伊藤和典,,千叶繁,,古川登志夫,,林原惠美,"['剧情', '动作', '科幻', '动画', '犯罪']",100分钟,1989,日本, 英语 / 日语,8.2
"幸福是一条温暖的毛毯 Happiness Is a Warm Blanket, Charlie Brown",,Andrew Beall,,Charles M. Schulz,,Trenton Rogers,,Shane Baumel,,Blesst Bowden,"['剧情', '喜剧', '动画', '家庭']",46分钟,2011,美国, 英语,8.2
变形金刚大电影 The Transformers: The Movie,,尼尔森·申,,Ron Friedman,,彼特·库伦,,伦纳德·尼莫伊,,弗兰克·维尔克,"['动作', '科幻', '动画', '冒险']",84分钟,1986,美国 / 日本, 英语 / 日语,8.2
动物农场 Animal Farm,,约翰·哈拉斯,,Borden Mace,,Gordon Heath,,莫瑞斯·德纳姆,,类型:,"['剧情', '动画']",72 分钟,1954,英国, 英语,8.2
星际宝贝史迪奇 Stitch! The Movie,,托尼·克莱格,,罗伯茨·甘纳韦,,黛维·切斯,,克里斯·桑德斯,,蒂亚·卡雷尔,"['喜剧', '科幻', '动画', '家庭', '冒险']",60分钟,2003,美国, 英语,8.2
奇特的故事 Extraordinary Tales,,劳尔·加西亚,,劳尔·加西亚,,罗杰·科曼,,吉尔莫·德尔·托罗,,柯奈莉亚·冯克,"['动画', '悬疑']",73分钟,2013,卢森堡 / 美国 / 西班牙 / 比利时, 英语,8.2
机器人嘉年华 ロボットカーニバル,,大友克洋,,森次晃嗣,,森次晃嗣,,Yayoi Maki,,Keiko Hanagata,"['科幻', '动画']",93分钟,1987,日本, 日语,8.2
飞出个未来大电影4：绿色狂想 Futurama: Into the Wild Green Yonder,,皮特·阿凡季诺,,马特·格罗宁,,比利·维斯特,,凯特蕾·萨加尔,,约翰·迪·玛吉欧,"['喜剧', '科幻', '动画']",89 分钟(DVD version),2009,美国, 英语,8.2
夏洛的网 Charlotte's Web,,Charles A. Nichols,,埃尔文·布鲁克斯·怀特,,Paul Lynde,,Agnes Moorehead,,Debbie Reynolds,"['动画', '歌舞', '家庭']",94 分钟,1973,美国, 英语,8.2
蝙蝠侠超人大电影-最佳搭档 The Batman Superman Movie: World's Finest,,Toshihiko Masuda,,Stan Berkowitz,,蒂姆·达利,,达娜·德拉尼,,凯文·康瑞,"['科幻', '动画', '犯罪']",64分钟,1997,美国, 英语,8.2
沃特希普高地 Watership Down,,马丁·罗森,,理查德·亚当斯,,约翰·赫特,,理查德·布赖尔斯,,迈克尔·格拉汉姆·考克斯,"['剧情', '动画', '冒险']",101 分钟,1978,英国, 英语,8.2
飞哥与小佛的时空大冒险 Phineas and Ferb the Movie: Across the 2nd Dimension,,丹·波文迈尔,,乔恩·科尔顿·巴里,,艾莉森·斯通勒,,迪·布拉雷·贝克尔,,托马斯·布罗迪-桑斯特,"['动画', '家庭', '冒险']",78分钟,2011,美国, 英语,8.2
老夫子,,蔡志忠,,胡树儒,,陈曙光,,黄端,,金贵,"['喜剧', '动画']",80分钟,1981,香港, 粤语,8.3
米奇与魔豆 Fun & Fancy Free,,Jack Kinney,,Edgar Bergen,,Edgar Bergen,,Dinah Shore,,Charlie McCarthy,['动画'],73 分钟,1947,美国, 英语,8.2
足球小将 欧洲大决战 キャプテン翼 ヨーロッパ大決戦,,光延博愛,,菅良幸,,小粥よう子,,山田栄子,,鈴置洋孝,"['动画', '运动']",41分钟,1985,日本, 日语,8.2
甘达星人 Gandahar,,阿内·拉鲁,,René Laloux,,Pierre-Marie Escourrou,,Catherine Chevallier,,Georges Wilson,"['科幻', '动画', '奇幻', '冒险']",USA: 83 分钟,1988,法国, 法语,8.0
美女与野兽之幸福生活 Beauty and the Beast: Belle's Magical World,,Cullen Blaine,,Alice Brown,,佩吉·奥哈拉,,罗比·本森,,杰夫·贝内特,"['喜剧', '动画', '音乐', '家庭', '奇幻']",92分钟,1998,美国, 英语,8.0
白蛇：缘起,,黄家康,,大毛,,张喆,,杨天翔,,唐小喜,"['爱情', '动画', '奇幻']",99分钟,2019,中国大陆 / 美国, 汉语普通话,7.9
哆啦A梦：伴我同行 STAND BY ME ドラえもん,,八木龙一,,山崎贵,,水田山葵,,大原惠美,,嘉数由美,"['剧情', '动画']",95分钟,2014,日本, 日语,7.9
驯龙高手2 How to Train Your Dragon 2,,迪恩·德布洛斯,,迪恩·德布洛斯,,杰伊·巴鲁切尔,,凯特·布兰切特,,杰拉德·巴特勒,"['动画', '奇幻', '冒险']",102分钟,2014,美国, 英语,7.9
超人总动员2 Incredibles 2,,布拉德·伯德,,布拉德·伯德,,格雷格·T·尼尔森,,霍利·亨特,,莎拉·沃威尔,"['喜剧', '动作', '动画', '冒险']",118分钟,2018,美国, 英语,7.9
精灵旅社 Hotel Transylvania,,格恩迪·塔塔科夫斯基,,彼得·贝恩汉姆,,亚当·桑德勒,,安迪·萨姆伯格,,赛琳娜·戈麦斯,"['喜剧', '动画', '奇幻']",91分钟,2012,美国, 英语,7.9
怪物史瑞克 Shrek,,安德鲁·亚当森,,威廉·史塔克,,麦克·梅尔斯,,艾迪·墨菲,,卡梅隆·迪亚兹,"['喜剧', '动画', '家庭', '奇幻', '冒险']",90 分钟,2001,美国, 英语,7.9
起风了 風立ちぬ,,宫崎骏,,宫崎骏,,庵野秀明,,泷本美织,,西岛秀俊,"['剧情', '爱情', '动画']",126分钟,2013,日本, 日语 / 法语 / 德语,7.9
宝莲灯,,常光希,,王大为,,姜文,,徐帆,,宁静,['动画'],85分钟,1999,中国大陆, 汉语普通话,7.9
兰戈 Rango,,戈尔·维宾斯基,,约翰·洛根,,约翰尼·德普,,艾拉·菲舍尔,,阿比盖尔·布蕾斯琳,"['喜剧', '动作', '动画', '西部', '冒险']",107分钟,2011,美国, 英语,7.9
虞美人盛开的山坡 コクリコ坂から,,宫崎吾朗,,宫崎骏,,长泽雅美,,冈田准一,,香川照之,"['剧情', '动画']",91分钟,2011,日本, 日语,7.9
魁拔之十万火急,,王川,,王川,,竹内顺子,,关俊彦,,樱井孝宏,"['动画', '儿童', '奇幻', '冒险']",83分钟,2011,中国大陆, 汉语普通话,7.9
乐高大电影 The Lego Movie,,菲尔·罗德,,菲尔·罗德,,克里斯·帕拉特,,威尔·法瑞尔,,伊丽莎白·班克斯,"['喜剧', '动画', '冒险']",100分钟,2014,美国 / 澳大利亚 / 丹麦, 英语,7.9
狮子王3 The Lion King 1½,,布拉德利·雷蒙德,,汤姆·罗杰斯,,内森·连恩,,厄尼·萨贝拉,,马修·布罗德里克,"['喜剧', '动画', '家庭', '冒险']",77 分钟,2004,澳大利亚 / 美国, 英语,7.9
葫芦兄弟,,胡进庆,,姚忠礼,,豆豆,,小荷,,金炜,['动画'],83分钟,2008,中国大陆, 汉语普通话,7.9
蝙蝠侠：突袭阿卡姆 Batman: Assault on Arkham,,杰伊·欧力瓦,,希思·科森,,凯文·康瑞,,尼尔·麦克唐纳,,海登·瓦尔希,"['动作', '动画', '犯罪']",75分钟,2014,美国, 英语,7.9
正义联盟：战争 Justice League: War,,杰伊·欧力瓦,,希思·科森,,西恩·奥斯汀,,扎克·卡利森,,克里斯托弗·戈勒姆,"['动作', '科幻', '动画', '奇幻', '冒险']",79分钟,2014,美国, 英语,7.9
小叮当与失去的宝藏 Tinker Bell and the Lost Treasure,,克雷·豪尔,,埃文·斯彼里奥托普洛斯,,梅·惠特曼,,杰西·麦卡尼,,简·霍洛克斯,"['喜剧', '动画', '奇幻', '冒险']",81分钟,2009,美国, 英语,7.9
正义联盟：神魔之战 Justice League: Gods and Monsters,,Sam Liu,,艾伦·伯内特,,詹森·艾萨克,,迈克尔·C·豪尔,,塔玛拉·泰勒,"['动作', '科幻', '动画']",76分钟,2015,美国, 英语,7.7
权力的游戏：征服与反抗 Game of Thrones: Conquest and Rebellion,,乔治·马丁,,尼古拉·科斯特-瓦尔道,,尼古拉·科斯特-瓦尔道,,皮鲁·埃斯贝克,,苏菲·特纳,"['剧情', '动画']",45分钟,2017,美国, 英语,7.7
无手的少女 La jeune fille sans mains,,塞巴斯蒂安·劳德巴克,,塞巴斯蒂安·劳德巴克,,阿娜伊斯·德穆斯蒂埃,,杰瑞米·埃尔卡伊姆,,菲利普·劳登巴赫,"['剧情', '动画']",76分钟,2016,法国, 法语,7.7
好奇的乔治 Curious George,,马修·奥卡拉汉,,肯恩·考夫曼,,弗兰克·维尔克,,威尔·法瑞尔,,德鲁·巴里摩尔,"['喜剧', '动画', '冒险']",86分钟,2006,美国 / 德国, 英语,7.7
熊出没之过年,,丁亮,,刘富源,,张秉君,,张伟,,辛媛,['动画'],68分钟,2013,中国大陆, 汉语普通话,7.7
米芽米咕人 Mia et le Migou,,雅克-雷米·杰瑞德,,Benoît Chieux,,丹尼·伯恩,,约翰·迪·玛吉欧,,Garance Lagraa,"['动画', '家庭']",91分钟,2008,法国 / 意大利, 法语,7.7
美食大冒险之英雄烩,,孙海鹏,,孙海鹏,,杨光普照,,孟宇,,张喆,"['动作', '动画', '冒险']",98分钟,2018,中国大陆, 汉语普通话,7.7
阿拉丁和大盗之王 Aladdin and the King of Thieves,,塔德·斯通斯,,Mark McCorkle,,斯科特·维内尔,,罗宾·威廉姆斯,,约翰·瑞斯-戴维斯,"['爱情', '动画', '歌舞', '奇幻']",80 分钟,1996,美国, 英语,7.7
羽国之旅 Resan till Fjäderkungens Rike,,埃斯本·托夫特·雅克伯森,,埃斯本·托夫特·雅克伯森,,艾德文·瑞丁,,图娃·诺沃妮,,古斯塔夫·汉马斯顿,"['动画', '冒险']",78分钟,2014,瑞典 / 丹麦, 瑞典语,7.7
蝙蝠侠大战幻影人 Batman: Mask of the Phantasm,,布鲁斯·提姆,,保罗·迪尼,,凯文·康瑞,,达娜·德拉尼,,哈特·巴克纳,"['动作', '动画', '悬疑', '犯罪']",76 分钟,1993,美国, 英语,7.7
篱笆墙外 Over the Hedge,,蒂姆·约翰逊,,莱恩·布卢姆,,布鲁斯·威利斯,,盖瑞·山德林,,史蒂夫·卡瑞尔,"['喜剧', '动画', '冒险']",83分钟,2006,美国, 英语,7.4
雪怪大冒险 Smallfoot,,凯瑞·柯克帕特里克,,凯瑞·柯克帕特里克,,查宁·塔图姆,,詹姆斯·柯登,,赞达亚,"['喜剧', '动画', '歌舞', '冒险']",96分钟,2018,美国, 英语,7.4
失常 Anomalisa,,查理·考夫曼,,查理·考夫曼,,大卫·休里斯,,詹妮弗·杰森·李,,汤姆·诺南,"['喜剧', '动画', '奇幻']",90分钟,2015,美国, 英语,7.4
史努比：花生大电影 The Peanuts Movie,,史蒂夫·马蒂诺,,布莱恩·舒尔茨,,诺亚·施纳普,,比尔·莫伦茨,,弗朗西斯卡·卡帕尔迪,"['喜剧', '动画', '冒险']",88分钟(中国大陆),2015,美国, 英语,7.4
熊出没之雪岭熊风,,丁亮,,刘富源,,张伟,,张秉君,,谭笑,"['喜剧', '动画', '家庭', '冒险']",96分钟,2015,中国大陆, 汉语普通话,7.4
超人之死 The Death of Superman,,杰克·卡斯托雷纳,,彼得·托马西,,杰瑞·奥康奈尔,,丽贝卡·罗梅恩,,雷恩·威尔森,"['动作', '科幻', '动画']",81分钟,2018,美国, 英语,7.4
异国色恋浪漫谭 異国色恋浪漫譚,,大谷肇,,小石川海,,诹访部顺一,,伊藤健太郎,,置鲇龙太郎,"['动画', '同性']",60分钟,2007,日本, 日语,7.4
黑暗正义联盟 Justice League Dark,,杰伊·欧力瓦,,J·M·德马泰,,马特·瑞安,,卡米拉·卢丁顿,,杰森·奥玛拉,"['动作', '科幻', '动画', '惊悚', '奇幻']",75分钟,2017,美国, 英语,7.4
正义联盟：两个地球的危机 Justice League: Crisis on Two Earths,,刘山姆,,Dwayne McDuffie,,Mark Harmon,,William Baldwin,,Chris Noth,"['动作', '科幻', '动画']",USA: 75 分钟,2010,美国, 英语,7.4
蝙蝠侠：哥谭骑士 Batman: Gotham Knight,,西见祥示郎,,鲍勃·凯恩,,凯文·康瑞,,杰森·马斯登,,斯科特·门维尔,"['动作', '科幻', '动画', '惊悚', '犯罪']",75 分钟,2008,美国 / 日本 / 韩国, 英语 / 日语 / 西班牙语 / 葡萄牙语 / 泰语,7.4
小叮当与海盗仙子 The Pirate Fairy,,佩吉·霍姆斯,,杰弗里·M·霍华德,,梅·惠特曼,,克里斯蒂娜·亨德里克斯,,汤姆·希德勒斯顿,"['动作', '动画', '奇幻', '冒险']",78分钟,2014,美国, 英语,7.4
诺亚方舟漂流记 Ooops! Die Arche ist weg...,,托比·格恩科尔,,里奇·康罗伊,,卡勒姆·马洛尼,,克里斯蒂安·乌蒙,,艾娃·康纳利,"['喜剧', '动画', '冒险']",86分钟,2015,德国 / 比利时 / 卢森堡 / 爱尔兰, 英语,7.4
小美人鱼3：爱丽儿的起源 The Little Mermaid: Ariel's Beginning,,Peggy Holmes,,Robert Reece,,裘蒂·班森,,Samuel E. Wright,,吉姆·库宁斯,"['动画', '家庭', '奇幻']",USA: 77 分钟,2008,美国, 英语,7.4
勇闯黄金城 The Road to El Dorado,,毕鲍·鲍格朗,,Henry Mayo,,凯文·克莱恩,,肯尼思·布拉纳,,阿曼德·阿山特,"['喜剧', '爱情', '动画', '家庭', '冒险']",89 分钟,2000,美国, 英语,7.4
猫和老鼠: 飆风天王 Tom And Jerry The Fast And The Furry,,Bill Kopp,,杰夫·贝内特,,杰夫·贝内特,,Charles Adler,,约翰·迪·玛吉欧,"['喜剧', '动画', '冒险']",USA: 75 分钟,2005,美国, 英语,7.4
芭比之拇指姑娘 Barbie Presents Thumbelina,,Conrad Helten,,凯瑟琳·巴尔,,凯瑟琳·巴尔,,Natasha Calis,,Anna Cummer,"['动画', '家庭']",75分钟,2009,加拿大 / 美国, 英语,7.4
"三个火枪手 Mickey, Donald, Goofy: The Three Musketeers",,多诺文·库克,,大卫·M·埃文斯,,韦恩·艾尔温,,托尼·安塞尔莫,,比尔·法玛尔,"['喜剧', '动画', '家庭', '冒险']",68分钟,2004,美国, 英语,7.4
黑色电影 Film Noir,,D. Jud Jones,,D. Jud Jones,,Mark Keller,,Bettina Devin,,Kristina Negrete,"['动画', '悬疑', '犯罪']",USA: 97 分钟,2007,美国 / 塞尔维亚, 英语,7.1
长颈鹿扎拉法 Zarafa,,雷米·贝占松,,雷米·贝占松,,Max Renaudin Pratt,,Simon Abkarian,,François-Xavier Demaison,"['动画', '冒险']",78分钟,2012,法国, 法语,7.1
高卢英雄大战维京海盗 Astérix et les Vikings,,Stefan Fjeldmark,,勒内·戈西尼,,Roger Carel,,Lorànt Deutsch,,Sara Forestier,"['喜剧', '动画', '家庭', '奇幻', '冒险']",78分钟,2006,法国 / 丹麦, 法语 / 英语,7.1
太空堡垒—暗影编年 Robotech: The Shadow Chronicles,,Dong-Wook Lee,,Ford Riley,,Richard Epcar,,Eddie Frierson,,马克·哈米尔,"['科幻', '动画']",88 分钟,2006,美国, 英语,7.1
大世界,,刘健,,刘健,,朱昌龙,,曹寇,,杨思明,"['剧情', '动画', '犯罪']",77分钟,2017,中国大陆, 汉语普通话,7.0
空中大灌篮 Space Jam,,乔·皮特卡,,莱奥·本韦努蒂,,迈克尔·乔丹,,韦恩·奈特,,特里萨·兰德尔,"['喜剧', '动画', '运动']",88 分钟,1996,美国, 英语,7.0
赛车总动员3：极速挑战 Cars 3,,布莱恩·菲,,布莱恩·菲,,欧文·威尔逊,,克里斯黛拉·阿朗索,,克里斯·库珀,"['喜剧', '动画', '冒险']",102分钟,2017,美国, 英语,7.0
别惹蚂蚁 The Ant Bully,,约翰·A·戴维斯,,约翰·A·戴维斯,,朱莉娅·罗伯茨,,尼古拉斯·凯奇,,梅丽尔·斯特里普,"['喜剧', '动画', '家庭', '奇幻', '冒险']",88 分钟,2006,美国, 英语,7.0
忍者蝙蝠侠 Batman Ninja,,水崎淳平,,中岛一树,,山寺宏一,,高木涉,,加隈亚衣,"['动作', '动画']",85分钟,2018,日本 / 美国, 日语 / 英语,7.0
疯狂农庄 Barnyard,,史蒂夫·欧德科克,,史蒂夫·欧德科克,,凯文·詹姆斯,,柯特妮·考克斯,,丹尼·格洛弗,"['喜剧', '动画', '家庭']",90分钟,2006,德国 / 美国, 英语,7.0
大闹天宫,,万籁鸣,,李克弱,,李扬,,陈凯歌,,陈道明,['动画'],90分钟(3D版),2012,中国大陆, 汉语普通话,7.0
泰若星球 Terra,,阿瑞斯特曼尼斯·瑟巴斯,,埃文·斯彼里奥托普洛斯,,埃文·蕾切尔·伍德,,贾斯汀·朗,,卢克·威尔逊,"['动作', '科幻', '动画', '冒险']",85分钟,2007,美国, 英语,7.0
蚁哥正传 Antz,,埃里克·达尼尔,,托德·奥尔科特,,伍迪·艾伦,,丹·艾克罗伊德,,安妮·班克罗夫特,"['喜剧', '动画', '冒险']",83 分钟,1998,美国, 英语,7.0
冰河世纪：巨蛋恶作剧 Ice Age: The Great Egg-Scapade,,Ricardo Curtis,,Jim Hecht,,Ray Romano,,John Leguizamo,,丹尼斯·利瑞,['动画'],73分钟,2016,美国, 英语,7.0
蝙蝠侠大战急冻人 Batman & Mr. Freeze: SubZero,,Boyd Kirkland,,Boyd Kirkland,,凯文·康瑞,,迈克尔·安萨拉,,类型:,"['剧情', '动作', '科幻', '动画', '惊悚', '犯罪']",70 分钟,1998,美国, 英语,7.0
风语咒,,刘阔,,于奥,,路知行,,阎萌萌,,褚珺,"['动画', '奇幻']",105分钟,2018,中国大陆, 汉语普通话,6.9
豚鼠特攻队 G-Force,,霍伊特·耶特曼,,科马克·韦伯利,,比尔·奈伊,,威尔·阿奈特,,扎克·加利凡纳基斯,"['动作', '动画', '冒险']",88 分钟,2009,美国, 英语,6.9
小门神,,王微,,王微,,高晓松,,白客,,易小星,"['喜剧', '动画', '奇幻']",107分钟,2016,中国大陆, 汉语普通话,6.9
拯救小兔 Hop,,蒂姆·希尔,,辛科·保罗,,詹姆斯·麦斯登,,拉塞尔·布兰德,,凯莉·库柯,"['喜剧', '动画', '冒险']",91分钟,2011,美国, 英语,6.6
亚瑟3：终极对决 Arthur et la guerre des deux mondes,,吕克·贝松,,Céline Garcia,,弗莱迪·海默,,米亚·法罗,,罗伯特·斯坦顿,"['动画', '家庭', '奇幻', '冒险']",100分钟,2010,法国, 英语,6.6
蝙蝠侠：致命玩笑 Batman: The Killing Joke,,刘山姆,,鲍勃·凯恩,,凯文·康瑞,,马克·哈米尔,,塔拉·斯特朗,"['动画', '犯罪']",76分钟,2016,美国, 英语,6.6
逃离地球 Escape from Planet Earth,,卡尔·布伦克尔,,卡尔·布伦克尔,,杰西卡·阿尔芭,,莎拉·杰茜卡·帕克,,布兰登·费舍,"['喜剧', '动画', '冒险']",89分钟,2013,美国 / 加拿大, 英语,6.6
赞鸟历险记 Zambezia,,韦恩·索恩利,,卡蜜拉·布勃纳-卡斯特丽兹,,伦纳德·尼莫伊,,杰里米·苏莱泽,,阿比盖尔·布蕾斯琳,"['喜剧', '动画', '家庭', '冒险']",83分钟,2012,南非, 英语,6.6
狂野大自然 The Wild,,史蒂夫·威廉姆斯,,埃德·德克特,,基弗·萨瑟兰,,詹姆斯·贝鲁什,,艾迪·伊扎德,"['喜剧', '动画', '家庭', '冒险']",Philippines: 82 分钟,2006,加拿大 / 美国, 英语,6.6
科学小怪蛋 Igor,,安东尼·莱昂迪斯,,Chris McKenna,,约翰·库萨克,,史蒂夫·布西密,,莫莉·香侬,"['喜剧', '动画', '家庭', '奇幻']",87 分钟,2008,美国 / 法国, 英语,6.6
地狱归来 Hell and Back,,Tom Gianas,,Tom Gianas,,尼克·斯旺森,,米拉·库尼斯,,鲍勃·奥登科克,"['喜剧', '动画', '冒险']",86分钟,2015,美国, 英语,6.6
正义联盟大战少年泰坦 Justice League vs. Teen Titans,,刘山姆,,艾伦·伯内特,,斯图尔特·艾伦,,杰森·马斯登,,杰瑞·奥康奈尔,"['动作', '动画']",78分钟,2016,美国, 英语,6.6
魔法总动员 The House of Magic,,杰里米·德格鲁森,,本·斯塔森,,辛达·亚当斯,,乔治·巴比特,,默里·布卢,"['喜剧', '动画', '冒险']",85分钟,2013,比利时, 英语 / 法语 / 德语,6.6
红孩儿大话火焰山 Journey to the West,,王童,,阿雅,,阿雅,,蔡升晏,,杨贵媚,"['剧情', '喜剧', '动画', '儿童', '奇幻']",95分钟,2005,台湾, 汉语普通话,6.6
小战象 ก้านกล้วย,,Kompin Kemgumnird,,Anyarit Pitakkul,,Anyarit Pitakkul,,Nawarat Techarathanaprasert,,Phoori Hiranyapruk,['动画'],95分钟,2006,泰国, 泰语,6.6
虹猫蓝兔火凤凰,,贺梦凡,,贺梦凡,,谢娜,,何炅,,杜海涛,['动画'],85分钟,2010,中国大陆, 汉语普通话,6.6
青蛙王国,,尼尔森·申,,郑立国,,石班瑜,,姜瑰瑾,,刘杰,"['动画', '冒险']",88分钟,2013,中国大陆, 汉语普通话,6.6
萨米大冒险2 Sammy's avonturen 2,,本·斯塔森,,多米尼克·帕里斯,,帕特·卡洛尔,,卡洛斯·麦卡勒斯二世,,辛达·亚当斯,"['动画', '冒险']",92分钟,2012,比利时, 英语,6.6
变身国王2:高刚外传 Kronk's New Groove,,Saul Blinkoff,,Tom Rogers,,帕特里克·沃伯顿,,崔茜·尤玛,,艾萨·凯特,"['喜剧', '爱情', '动画', '家庭']",72 分钟,2005,美国, 英语,6.6
闪闪的红星,,林超贤,,林超贤,,许飞,,祝新运,,蒋雯丽,"['动画', '儿童']",82分钟,2007,中国大陆, 汉语普通话,6.6
弹丸论破3 -The End of 希望之峰学园- 希望篇 ダンガンロンパ3 -The End of 希望ヶ峰学園- 希望編,,福岡大生,,海法纪光,,绪方惠美,,斋藤千和,,本乡奏多,"['剧情', '动画', '悬疑']",24分钟,2016,日本, 日语,6.6
托马斯和朋友们：多多岛之迷失宝藏 Thomas & Friends: Sodor's Legend of the Lost Treasure,,大卫·斯特登,,安德鲁·布瑞纳,,埃迪·雷德梅恩,,杰米·坎贝尔·鲍尔,,约翰·赫特,"['动画', '家庭', '儿童']",81分钟(中国大陆),2015,英国, 英语,6.6
奇人密码：古罗布之迷 奇人密碼：古羅布之謎,,黄强华,,黄亮勋,,徐琳智,,马韵婷,,萧煌奇,"['动作', '动画', '奇幻']",104分钟,2015,台湾, 汉语普通话 / 闽南语,6.6
月球大冒险 Fly Me to the Moon,,Ben Stassen,,Domonic Paris,,蒂姆·克里,,罗伯特·帕特里克,,凯莉·蕾帕,"['动画', '家庭', '冒险']",84 分钟,2008,比利时, 英语,6.0
绿巨人大战 Hulk Vs.,,Frank Paur,,Craig Kyle,,Fred Tatasciore,,史蒂夫·布卢姆,,格蕾·德丽斯勒,"['动作', '动画']",78分钟,2009,美国, 英语,6.0
开心超人2：启源星之战,,黄伟明,,黄伟明,,祖晴,,高全胜,,刘红韵,"['动画', '冒险']",85分钟,2014,中国大陆, 汉语普通话,6.0
邪恶新世界 Happily N'Ever After,,Paul Bolger,,Douglas Langdale,,乔治·卡林,,小弗雷迪·普林兹,,西格妮·韦弗,"['喜剧', '动画', '家庭', '奇幻']",75 分钟,2007,美国 / 德国, 英语,6.0
神秘世界历险记3,,王云飞,,王云飞,,刘校妤,,孟泉霖,,陆揆,"['动画', '奇幻', '冒险']",82分钟,2016,中国大陆, 汉语普通话,6.0
绿野仙踪之奥兹国奇幻之旅 Урфин Джюс и его деревянные солдаты,,费多·德米提亚夫 ,,亚历山大·博亚斯基,,Dmitriy Dyuzhev,,康斯坦丁·哈宾斯基,,谢尔盖·希纳罗维,"['动画', '家庭', '冒险']",92分钟,2017,俄罗斯, 俄语,6.0
无所事事的海盗 The Pirates Who Don't Do Anything: A VeggieTales Movie,,Mike Nawrocki,,Phil Vischer,,Phil Vischer,,Mike Nawrocki,,Cam Clarke,"['喜剧', '动画', '家庭', '冒险']",USA: 85 分钟,2008,美国, 英语,6.0
秦时明月之医者入世,,李金滨,,毛天耘,,李敏妍,,孙晔,,类型:,"['剧情', '动画']",16分钟,2017,中国大陆, 汉语普通话,6.0
极地大冒险2 Niko 2: Lentäjäveljekset,,卡里·尤索宁,,马丁内·托雷松,,卡里·希耶塔拉赫蒂,,沃科·霍瓦塔,,尤哈·韦约宁,"['剧情', '喜剧', '动画', '冒险']",77分钟(中国大陆),2012,芬兰 / 德国 / 丹麦 / 爱尔兰, 芬兰语,5.9
拯救大明星 Saving Santa,,莱昂·乔森,,托尼·诺蒂奇,,马丁·弗瑞曼,,蒂姆·克里,,蒂姆·康威,"['喜剧', '动画', '家庭', '奇幻', '冒险']",83分钟,2013,英国 / 美国, 英语,5.9
兔侠传奇,,孙立军,,邹静之,,范伟,,闫妮,,张丰毅,"['喜剧', '动作', '动画', '冒险', '武侠']",90分钟,2011,中国大陆, 汉语普通话,5.9
星河战队：火星叛国者 Starship Troopers: Traitor of Mars,,荒牧伸志,,爱德华·诺麦尔,,卡斯帕·凡·迪恩,,迪娜·迈耶,,德雷·戴维斯,"['动作', '科幻', '动画']",88分钟,2017,美国 / 日本, 英语,5.9
诸神混乱之女神陷阱 Immortel (ad vitam),,恩基·比拉,,恩基·比拉,,琳达·哈蒂,,托马斯·克莱舒曼,,夏洛特·兰普林,"['剧情', '动作', '科幻', '动画', '犯罪']",103 分钟,2004,法国 / 意大利 / 英国, 英语 / 法语,5.9
钢铁侠：噬甲危机 Iron Man: Rise of Technovore,,浜崎博嗣,,唐·赫克,,诺曼·瑞杜斯,,马修·默瑟,,凯瑞·华格伦,"['动作', '科幻', '动画']",88分钟,2013,日本, 英语 / 日语,5.9
吃货宇宙,,陈廖宇,,向华,,张鹤来,,张栩儿,,刘思童,"['喜剧', '科幻', '动画']",89分钟,2018,中国大陆, 汉语普通话,5.9
蝙蝠侠无极限：怪兽来袭 Batman Unlimited: Monster Mayhem,,Butch Lukic,,希思·科森,,特罗伊·贝克,,布莱恩·T·德莱尼,,克里斯·迪亚曼托普洛斯,"['动作', '动画', '冒险']",81分钟,2015,美国, 英语,5.9
战锤40000:极限战士 Ultramarines,,Martyn Pick,,Dan Abnett,,Sean Pertwee,,Steven Waddington,,Donald Sumpter,"['科幻', '动画']",USA: 70 分钟,2010,英国, 英语,5.9
马兰花,,姚光华,,林志玲,,林志玲,,陈好,,黎明,"['剧情', '动画']",99分钟,2009,中国大陆, 汉语普通话,4.9
赛尔号大电影4：圣魔之战,,王章俊,,王章俊,,杨鸥,,张安琪,,樊俊航,"['剧情', '动画', '儿童', '冒险']",86分钟,2014,中国大陆, 汉语普通话,4.8
