,导演,编剧,主演一,主演二,主演三,类型,时长,地区,分数
106.0,5.635714285714287,6.966666666666668,6.433333333333334,6.44,7.0,7.33,6.844239999999999,5.8443960826985695,7.0
107.0,7.0,6.8555555555555525,6.919999999999999,6.0900000000000025,7.0,6.82,6.844239999999999,7.0663419191245,7.0
108.0,7.142857142857142,7.0,6.675,7.476923076923077,7.0875,6.82,6.844239999999999,7.0663419191245,7.0
109.0,7.6,7.0,7.110810810810811,7.454545454545454,6.9125000000000005,6.82,7.404689999999999,7.0663419191245,7.0
110.0,6.6999999999999975,7.0,6.9833333333333325,7.066666666666666,7.0,6.82,6.844239999999999,7.0663419191245,7.0
111.0,6.726666666666668,7.0,6.910000000000001,6.6999999999999975,7.222222222222222,6.82,6.844239999999999,7.0663419191245,7.0
112.0,6.45,6.5,6.8874999999999975,6.7,6.62,6.82,6.844239999999999,7.0663419191245,6.7
113.0,5.9645161290322575,6.3175,6.828571428571428,7.536363636363637,5.357142857142857,6.82,6.844239999999999,6.5677324358434745,6.7
114.0,6.50909090909091,6.7,6.578571428571429,7.183333333333333,6.8,6.82,6.844239999999999,7.0663419191245,6.7
115.0,6.7,6.8,7.130769230769232,7.014285714285713,6.7,6.82,6.844239999999999,6.750420168067232,6.7
116.0,5.889285714285713,5.968571428571428,5.855555555555558,6.7,6.025,6.91,6.844239999999999,6.5677324358434745,6.7
117.0,6.93,6.7,6.7857142857142865,7.083333333333332,6.666666666666668,6.82,6.844239999999999,7.0663419191245,6.7
118.0,6.7,6.7,6.775,6.8,6.7,6.82,6.844239999999999,6.752777777777789,6.7
119.0,6.525,7.0,6.7,5.833333333333332,6.7333333333333325,7.33,6.844239999999999,7.252004860267325,6.7
120.0,6.8090909090909095,6.7,7.514285714285713,6.58,6.75,7.33,7.404689999999999,7.0663419191245,6.7
121.0,7.614285714285715,6.7,6.7,6.7,6.7,7.33,6.6630600000000015,6.750420168067232,6.7
122.0,6.8500000000000005,6.8500000000000005,7.0166666666666675,5.8,6.3454545454545475,6.91,6.844239999999999,6.5677324358434745,6.7
123.0,7.444,6.7,6.933333333333334,6.871428571428572,7.1,7.33,6.844239999999999,7.494675248683443,6.7
124.0,6.775,6.7,7.274999999999999,6.675,6.5,7.33,6.844239999999999,7.293932708218413,6.7
125.0,7.142857142857142,7.3599999999999985,6.7,6.7,6.7,6.82,6.844239999999999,6.750420168067232,6.7
126.0,6.293495934959347,6.118285714285713,6.944871794871798,7.127027027027029,6.406451612903223,6.82,6.844239999999999,6.5677324358434745,6.7
127.0,5.9645161290322575,6.3175,6.651401869158878,6.44,7.6692307692307695,6.82,7.404689999999999,6.5677324358434745,6.4
128.0,5.7600000000000025,5.3500000000000005,6.35,6.400000000000001,6.4,6.82,6.844239999999999,5.8443960826985695,6.4
129.0,6.400000000000001,6.65,6.2,6.400000000000001,6.400000000000001,7.33,7.404689999999999,6.750420168067232,6.4
130.0,6.225714285714285,6.875000000000001,6.828571428571428,7.536363636363637,7.0,6.91,6.844239999999999,5.8443960826985695,6.4
131.0,6.5200000000000005,6.4,6.116666666666666,6.1,6.925,6.91,6.6630600000000015,5.8443960826985695,6.4
132.0,5.825,5.825,6.127999999999999,6.075000000000001,6.5,6.6,6.6630600000000015,5.8443960826985695,6.4
133.0,6.8,6.4,6.866666666666667,6.4,6.900000000000001,7.33,7.404689999999999,7.252004860267325,6.4
